'Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay'
Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,120,0,1,0.0
intersection35,1,120,0,1,0.0
intersection40,1,120,0,2,12.5
intersection44,1,120,0,0,0.0
intersection97,1,120,0,0,0.0
intersection109,1,120,0,0,0.0
intersection133,1,120,0,0,0.0
intersection141,1,120,0,0,0.0
intersection133,2,236,0,0,0.0
intersection141,2,236,0,0,0.0
intersection33,2,236,0,5,6.3
intersection35,2,236,0,8,24.88
intersection40,2,236,0,10,16.95
intersection44,2,236,0,3,17.67
intersection97,2,236,0,2,21.25
intersection109,2,236,0,1,0.0
intersection133,3,352,0,0,0.0
intersection141,3,352,0,0,0.0
intersection33,3,353,0,3,3.5
intersection35,3,353,0,8,29.13
intersection40,3,353,0,5,1.9
intersection44,3,353,0,8,10.19
intersection97,3,353,0,2,0.0
intersection109,3,353,0,8,8.25
intersection133,4,468,0,0,0.0
intersection141,4,468,0,0,0.0
intersection33,4,469,0,17,34.29
intersection35,4,469,0,14,10.57
intersection40,4,469,0,7,32.36
intersection44,4,469,0,8,17.88
intersection97,4,469,0,1,0.0
intersection109,4,469,0,5,37.4
intersection133,5,584,0,0,0.0
intersection141,5,584,0,0,0.0
intersection33,5,586,0,23,7.91
intersection35,5,586,0,10,22.85
intersection40,5,586,0,7,11.0
intersection44,5,586,0,3,0.0
intersection97,5,586,0,3,45.33
intersection109,5,586,0,9,25.28
intersection141,6,700,0,0,0.0
intersection133,6,700,0,0,0.0
intersection33,6,702,0,11,16.95
intersection35,6,702,0,11,23.41
intersection40,6,702,0,11,18.09
intersection44,6,702,0,13,29.42
intersection97,6,702,0,0,0.0
intersection109,6,702,0,12,7.46
intersection141,7,816,0,0,0.0
intersection133,7,816,0,0,0.0
intersection33,7,819,0,12,8.54
intersection35,7,819,0,17,17.88
intersection40,7,819,0,14,12.57
intersection44,7,819,0,8,1.06
intersection97,7,819,0,3,3.33
intersection109,7,819,0,8,8.81
intersection141,8,932,0,0,0.0
intersection133,8,932,0,0,0.0
intersection33,8,935,0,26,3.21
intersection35,8,935,0,13,10.77
intersection40,8,935,0,13,29.54
intersection44,8,935,0,9,1.94
intersection97,8,935,0,2,0.0
intersection109,8,935,0,7,19.71
intersection141,9,1048,0,0,0.0
intersection133,9,1048,0,0,0.0
intersection33,9,1052,0,17,17.41
intersection35,9,1052,0,17,17.24
intersection40,9,1052,0,10,8.7
intersection44,9,1052,0,8,27.38
intersection97,9,1052,0,0,0.0
intersection109,9,1052,0,4,12.63
intersection141,10,1164,0,0,0.0
intersection133,10,1164,0,0,0.0
intersection33,10,1168,0,18,3.42
intersection35,10,1168,0,11,21.82
intersection40,10,1168,0,6,12.75
intersection44,10,1168,0,7,30.5
intersection97,10,1168,0,3,20.5
intersection109,10,1168,0,8,19.38
intersection141,11,1280,0,0,0.0
intersection133,11,1280,0,0,0.0
intersection33,11,1285,0,13,15.08
intersection35,11,1285,0,16,23.91
intersection40,11,1285,0,18,16.61
intersection44,11,1285,0,7,0.07
intersection97,11,1285,0,0,0.0
intersection109,11,1285,0,9,9.83
intersection141,12,1396,0,0,0.0
intersection133,12,1396,0,0,0.0
intersection97,12,1401,0,1,0.0
intersection33,12,1401,0,12,14.0
intersection35,12,1401,0,6,2.25
intersection40,12,1401,0,14,10.82
intersection44,12,1401,0,6,33.92
intersection109,12,1401,0,8,25.44
intersection141,13,1512,0,0,0.0
intersection133,13,1512,0,0,0.0
intersection97,13,1517,0,0,0.0
intersection33,13,1518,0,19,4.58
intersection35,13,1518,0,9,38.22
intersection40,13,1518,0,12,9.75
intersection44,13,1518,0,5,0.4
intersection109,13,1518,0,10,19.75
intersection141,14,1628,0,0,0.0
intersection133,14,1628,0,0,0.0
intersection97,14,1634,0,1,60.0
intersection33,14,1634,0,26,6.98
intersection35,14,1634,0,6,21.0
intersection40,14,1634,0,12,11.21
intersection44,14,1634,0,4,35.0
intersection109,14,1634,0,3,10.17
intersection141,15,1744,0,0,0.0
intersection133,15,1744,0,0,0.0
intersection97,15,1750,0,2,73.5
intersection33,15,1751,0,15,9.67
intersection35,15,1751,0,11,29.09
intersection40,15,1751,0,10,9.9
intersection44,15,1751,0,3,0.83
intersection109,15,1751,0,13,18.69
intersection141,16,1860,0,0,0.0
intersection133,16,1861,0,0,0.0
intersection97,16,1867,0,0,0.0
intersection33,16,1867,0,16,4.16
intersection35,16,1867,0,12,35.04
intersection40,16,1867,0,11,26.95
intersection44,16,1867,0,13,20.81
intersection109,16,1867,0,3,9.0
intersection141,17,1976,0,0,0.0
intersection133,17,1977,0,0,0.0
intersection97,17,1983,0,0,0.0
intersection33,17,1984,0,16,13.34
intersection35,17,1984,0,8,31.31
intersection40,17,1984,0,8,9.81
intersection44,17,1984,0,3,0.0
intersection109,17,1984,0,14,17.21
intersection141,18,2092,0,0,0.0
intersection133,18,2093,0,0,0.0
intersection97,18,2100,0,4,25.38
intersection33,18,2100,0,19,11.97
intersection35,18,2100,0,11,40.14
intersection40,18,2100,0,12,4.63
intersection44,18,2100,0,4,0.13
intersection109,18,2100,0,10,24.2
intersection141,19,2208,0,0,0.0
intersection133,19,2209,0,0,0.0
intersection97,19,2216,0,1,32.5
intersection33,19,2217,0,19,13.29
intersection35,19,2217,0,14,40.61
intersection40,19,2217,0,9,17.67
intersection44,19,2217,0,9,1.44
intersection109,19,2217,0,9,10.0
intersection141,20,2324,0,0,0.0
intersection133,20,2325,0,0,0.0
intersection97,20,2333,0,0,0.0
intersection33,20,2333,0,17,17.0
intersection35,20,2333,0,7,1.43
intersection40,20,2333,0,12,9.71
intersection44,20,2333,0,4,16.38
intersection109,20,2333,0,7,25.14
intersection141,21,2440,0,0,0.0
intersection133,21,2441,0,0,0.0
intersection97,21,2449,0,2,41.5
intersection33,21,2450,0,23,13.04
intersection35,21,2450,0,13,26.92
intersection40,21,2450,0,14,21.07
intersection44,21,2450,0,7,12.0
intersection109,21,2450,0,5,21.7
intersection141,22,2556,0,0,0.0
intersection133,22,2557,0,0,0.0
intersection97,22,2566,0,1,0.0
intersection33,22,2566,0,21,6.81
intersection35,22,2566,0,12,21.0
intersection40,22,2566,0,10,20.05
intersection44,22,2566,0,5,11.8
intersection109,22,2566,0,13,23.15
intersection141,23,2672,0,0,0.0
intersection133,23,2673,0,0,0.0
intersection97,23,2682,0,3,1.17
intersection33,23,2683,0,18,27.36
intersection35,23,2683,0,9,28.61
intersection40,23,2683,0,6,18.08
intersection44,23,2683,0,9,12.61
intersection109,23,2683,0,6,1.83
intersection141,24,2788,0,0,0.0
intersection133,24,2789,0,0,0.0
intersection97,24,2799,0,2,21.5
intersection33,24,2799,0,17,7.79
intersection35,24,2799,0,16,30.75
intersection40,24,2799,0,12,13.75
intersection44,24,2799,0,5,1.1
intersection109,24,2799,0,9,43.0
intersection141,25,2904,0,0,0.0
intersection133,25,2905,0,0,0.0
intersection97,25,2915,0,0,0.0
intersection33,25,2916,0,21,13.83
intersection35,25,2916,0,17,40.09
intersection40,25,2916,0,5,9.0
intersection44,25,2916,0,14,17.14
intersection109,25,2916,0,5,1.3
intersection141,26,3020,0,0,0.0
intersection133,26,3021,0,0,0.0
intersection97,26,3032,0,2,91.75
intersection33,26,3032,0,24,18.08
intersection35,26,3032,0,15,31.97
intersection40,26,3032,0,14,15.68
intersection44,26,3032,0,10,8.55
intersection109,26,3032,0,11,18.05
intersection141,27,3136,0,0,0.0
intersection133,27,3137,0,0,0.0
intersection97,27,3148,0,0,0.0
intersection33,27,3149,0,16,13.53
intersection35,27,3149,0,17,18.0
intersection40,27,3149,0,10,13.35
intersection44,27,3149,0,5,15.6
intersection109,27,3149,0,11,3.82
intersection141,28,3252,0,0,0.0
intersection133,28,3253,0,0,0.0
intersection97,28,3265,0,2,20.25
intersection33,28,3265,0,15,6.5
intersection35,28,3265,0,14,12.43
