'Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay'
Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,120,0,1,0.0
intersection35,1,120,0,2,0.0
intersection40,1,120,0,2,4.5
intersection44,1,120,0,1,0.0
intersection97,1,120,0,0,0.0
intersection109,1,120,0,1,38.5
intersection133,1,120,0,0,0.0
intersection141,1,120,0,0,0.0
intersection133,2,236,0,0,0.0
intersection141,2,236,0,0,0.0
intersection33,2,236,0,3,13.17
intersection35,2,236,0,5,19.6
intersection40,2,236,0,4,20.0
intersection44,2,236,0,3,1.17
intersection97,2,236,0,0,0.0
intersection109,2,236,0,3,11.5
intersection133,3,352,0,0,0.0
intersection141,3,352,0,0,0.0
intersection33,3,353,0,10,0.0
intersection35,3,353,0,7,6.57
intersection40,3,353,0,4,3.75
intersection44,3,353,0,5,13.7
intersection97,3,353,0,4,29.38
intersection109,3,353,0,9,11.11
intersection133,4,468,0,0,0.0
intersection141,4,468,0,0,0.0
intersection33,4,469,0,18,7.33
intersection35,4,469,0,9,37.44
intersection40,4,469,0,8,16.88
intersection44,4,469,0,10,19.7
intersection97,4,469,0,2,0.0
intersection109,4,469,0,5,17.6
intersection133,5,584,0,0,0.0
intersection141,5,584,0,0,0.0
intersection33,5,586,0,22,20.11
intersection35,5,586,0,20,24.0
intersection40,5,586,0,10,12.6
intersection44,5,586,0,6,15.33
intersection97,5,586,0,1,0.0
intersection109,5,586,0,2,0.0
intersection133,6,700,0,0,0.0
intersection141,6,700,0,1,0.0
intersection33,6,702,0,18,10.36
intersection35,6,702,0,10,35.3
intersection40,6,702,0,15,28.93
intersection44,6,702,0,7,9.14
intersection97,6,702,0,1,39.0
intersection109,6,702,0,11,26.5
intersection133,7,816,0,0,0.0
intersection141,7,817,0,1,0.0
intersection97,7,818,0,0,0.0
intersection33,7,819,0,13,12.5
intersection35,7,819,0,12,43.38
intersection40,7,819,0,9,1.06
intersection44,7,819,0,7,13.79
intersection109,7,819,0,12,9.08
intersection133,8,932,0,0,0.0
intersection141,8,933,0,1,0.0
intersection97,8,935,0,2,38.0
intersection33,8,935,0,12,28.38
intersection35,8,935,0,9,52.83
intersection40,8,935,0,11,22.91
intersection44,8,935,0,5,3.0
intersection109,8,935,0,15,14.43
intersection133,9,1048,0,0,0.0
intersection141,9,1050,0,0,0.0
intersection97,9,1051,0,1,6.0
intersection33,9,1052,0,11,23.95
intersection35,9,1052,0,6,0.08
intersection40,9,1052,0,8,15.38
intersection44,9,1052,0,10,3.45
intersection109,9,1052,0,5,7.6
intersection133,10,1164,0,0,0.0
intersection141,10,1166,0,0,0.0
intersection97,10,1168,0,4,62.88
intersection33,10,1168,0,21,20.48
intersection35,10,1168,0,13,24.23
intersection40,10,1168,0,11,25.23
intersection44,10,1168,0,12,6.38
intersection109,10,1168,0,10,3.3
intersection133,11,1280,0,0,0.0
intersection141,11,1282,0,0,0.0
intersection97,11,1284,0,0,0.0
intersection33,11,1285,0,13,22.12
intersection35,11,1285,0,12,12.29
intersection40,11,1285,0,9,4.33
intersection44,11,1285,0,11,6.45
intersection109,11,1285,0,8,15.44
intersection133,12,1396,0,0,0.0
intersection141,12,1398,0,0,0.0
intersection97,12,1401,0,1,70.5
intersection33,12,1401,0,18,6.17
intersection35,12,1401,0,19,32.05
intersection40,12,1401,0,11,15.32
intersection44,12,1401,0,2,14.5
intersection109,12,1401,0,6,13.33
intersection133,13,1512,0,0,0.0
intersection141,13,1514,0,0,0.0
intersection97,13,1517,0,1,53.5
intersection33,13,1518,0,25,13.02
intersection35,13,1518,0,5,48.8
intersection40,13,1518,0,9,5.0
intersection44,13,1518,0,5,6.1
intersection109,13,1518,0,6,8.42
intersection133,14,1628,0,0,0.0
intersection141,14,1630,0,0,0.0
intersection97,14,1634,0,0,0.0
intersection33,14,1634,0,17,7.26
intersection35,14,1634,0,14,39.21
intersection40,14,1634,0,15,35.83
intersection44,14,1634,0,5,19.0
intersection109,14,1634,0,18,10.92
intersection133,15,1744,0,0,0.0
intersection141,15,1746,0,0,0.0
intersection97,15,1750,0,4,19.0
intersection33,15,1751,0,12,7.08
intersection35,15,1751,0,13,25.73
intersection40,15,1751,0,15,3.37
intersection44,15,1751,0,6,2.5
intersection109,15,1751,0,5,8.8
intersection133,16,1860,0,0,0.0
intersection141,16,1862,0,0,0.0
intersection97,16,1867,0,0,0.0
intersection33,16,1867,0,21,15.19
intersection35,16,1867,0,12,25.75
intersection40,16,1867,0,10,26.8
intersection44,16,1867,0,8,2.44
intersection109,16,1867,0,9,15.67
intersection133,17,1976,0,0,0.0
intersection141,17,1978,0,0,0.0
intersection97,17,1983,0,1,0.0
intersection33,17,1984,0,17,3.85
intersection35,17,1984,0,12,42.79
intersection40,17,1984,0,13,16.19
intersection44,17,1984,0,7,35.86
intersection109,17,1984,0,11,10.41
intersection133,18,2092,0,0,0.0
intersection141,18,2094,0,0,0.0
intersection97,18,2100,0,1,36.0
intersection33,18,2100,0,15,15.47
intersection35,18,2100,0,10,16.65
intersection40,18,2100,0,11,6.55
intersection44,18,2100,0,5,2.2
intersection109,18,2100,0,11,10.73
intersection133,19,2208,0,0,0.0
intersection141,19,2210,0,0,0.0
intersection97,19,2216,0,6,47.83
intersection33,19,2217,0,23,22.0
intersection35,19,2217,0,19,23.0
intersection40,19,2217,0,9,27.78
intersection44,19,2217,0,6,14.75
intersection109,19,2217,0,4,3.0
intersection133,20,2324,0,0,0.0
intersection141,20,2326,0,0,0.0
intersection97,20,2333,0,0,0.0
intersection33,20,2333,0,17,8.18
intersection35,20,2333,0,12,26.63
intersection40,20,2333,0,8,18.13
intersection44,20,2333,0,10,1.2
intersection109,20,2333,0,7,43.5
intersection133,21,2440,0,0,0.0
intersection141,21,2442,0,1,0.0
intersection97,21,2449,0,0,0.0
intersection33,21,2450,0,12,3.46
intersection35,21,2450,0,10,19.65
intersection40,21,2450,0,15,6.3
intersection44,21,2450,0,6,5.0
intersection109,21,2450,0,12,4.46
intersection133,22,2556,0,0,0.0
intersection141,22,2558,0,0,0.0
intersection97,22,2566,0,3,39.83
intersection33,22,2566,0,20,21.68
intersection35,22,2566,0,9,30.39
intersection40,22,2566,0,4,2.88
intersection44,22,2566,0,7,1.0
intersection109,22,2566,0,11,13.32
intersection133,23,2672,0,0,0.0
intersection141,23,2674,0,0,0.0
intersection97,23,2682,0,2,19.0
intersection33,23,2683,0,12,11.21
intersection35,23,2683,0,10,36.25
intersection40,23,2683,0,17,36.15
intersection44,23,2683,0,6,3.5
intersection109,23,2683,0,11,21.59
intersection133,24,2788,0,0,0.0
intersection141,24,2790,0,0,0.0
intersection97,24,2799,0,0,0.0
intersection33,24,2799,0,23,21.89
intersection35,24,2799,0,11,32.73
intersection40,24,2799,0,7,0.5
intersection44,24,2799,0,7,29.93
intersection109,24,2799,0,1,0.0
intersection133,25,2904,0,0,0.0
intersection141,25,2906,0,0,0.0
intersection97,25,2915,0,0,0.0
intersection33,25,2916,0,16,16.72
intersection35,25,2916,0,12,13.54
intersection40,25,2916,0,14,30.04
intersection44,25,2916,0,5,2.3
intersection109,25,2916,0,12,42.5
intersection133,26,3020,0,0,0.0
intersection141,26,3022,0,0,0.0
intersection97,26,3032,0,0,0.0
intersection33,26,3032,0,16,10.59
intersection35,26,3032,0,11,24.95
intersection40,26,3032,0,6,11.83
intersection44,26,3032,0,7,4.14
intersection109,26,3032,0,8,2.38
intersection133,27,3136,0,0,0.0
intersection141,27,3138,0,0,0.0
intersection97,27,3148,0,3,28.5
intersection33,27,3149,0,25,21.0
intersection35,27,3149,0,15,32.53
intersection40,27,3149,0,7,30.5
intersection44,27,3149,0,9,10.72
intersection109,27,3149,0,9,14.33
intersection133,28,3252,0,0,0.0
intersection141,28,3254,0,0,0.0
intersection97,28,3265,0,0,0.0
intersection33,28,3265,0,18,8.06
intersection35,28,3265,0,11,34.14
