Intersection_Name,Cycle,Phase_NS,Phase_EW
304THN,31,56,56
NVCNVL,31,10,102
NVCCMT8,31,10,102
32THN,31,56,56
304NVL,31,40,72
32NVL,31,10,102
32MT,31,56,56
NVCMT,32,56,56
304THN,32,56,56
NVCNVL,32,56,56
NVCCMT8,32,10,102
32THN,32,56,56
304NVL,32,10,102
32NVL,32,102,10
32MT,32,22,90
NVCMT,33,56,56
304THN,33,56,56
NVCNVL,33,10,102
NVCCMT8,33,56,56
32THN,33,56,56
304NVL,33,10,102
32NVL,33,90,22
32MT,33,102,10
NVCMT,34,10,102
304THN,34,56,56
NVCNVL,34,56,56
NVCCMT8,34,56,56
32THN,34,56,56
304NVL,34,30,82
32NVL,34,102,10
32MT,34,12,100
NVCMT,35,56,56
304THN,35,56,56
NVCNVL,35,10,102
NVCCMT8,35,56,56
32THN,35,56,56
304NVL,35,10,102
32NVL,35,102,10
32MT,35,37,75
NVCMT,36,56,56
304THN,36,56,56
NVCNVL,36,10,102
NVCCMT8,36,56,56
32THN,36,56,56
304NVL,36,10,102
32NVL,36,102,10
32MT,36,31,81
NVCMT,37,56,56
304THN,37,56,56
NVCNVL,37,10,102
NVCCMT8,37,56,56
32THN,37,56,56
304NVL,37,10,102
32NVL,37,52,60
32MT,37,56,56
NVCMT,38,56,56
304THN,38,56,56
NVCNVL,38,56,56
NVCCMT8,38,56,56
32THN,38,56,56
304NVL,38,10,102
32NVL,38,102,10
32MT,38,24,88
NVCMT,39,56,56
304THN,39,56,56
NVCNVL,39,10,102
NVCCMT8,39,56,56
32THN,39,56,56
304NVL,39,10,102
32NVL,39,102,10
32MT,39,35,77
NVCMT,40,56,56
304THN,40,56,56
NVCNVL,40,56,56
NVCCMT8,40,56,56
32THN,40,56,56
304NVL,40,33,79
32NVL,40,56,56
32MT,40,102,10
NVCMT,41,56,56
304THN,41,56,56
NVCNVL,41,10,102
NVCCMT8,41,56,56
32THN,41,56,56
304NVL,41,10,102
32NVL,41,102,10
32MT,41,31,81
NVCMT,42,56,56
304THN,42,56,56
NVCNVL,42,10,102
NVCCMT8,42,56,56
