'Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay'
Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection141,23,2672,0,0,0.0
intersection133,23,2673,0,0,0.0
intersection40,23,2682,0,15,15.07
intersection97,23,2682,0,4,26.13
intersection33,23,2683,0,15,29.47
intersection35,23,2683,0,9,38.0
intersection44,23,2683,0,8,10.44
intersection109,23,2683,0,6,29.25
intersection141,24,2788,0,0,0.0
intersection133,24,2789,0,0,0.0
intersection40,24,2799,0,9,3.56
intersection97,24,2799,0,0,0.0
intersection33,24,2799,0,19,1.66
intersection35,24,2799,0,9,11.83
intersection44,24,2799,0,11,3.5
intersection109,24,2799,0,7,2.36
intersection141,25,2904,0,0,0.0
intersection133,25,2905,0,0,0.0
intersection40,25,2915,0,12,15.42
intersection97,25,2915,0,0,0.0
intersection33,25,2916,0,12,33.71
intersection35,25,2916,0,7,15.36
intersection44,25,2916,0,7,25.29
intersection109,25,2916,0,11,31.64
intersection141,26,3020,0,0,0.0
intersection133,26,3021,0,0,0.0
intersection40,26,3032,0,7,15.71
intersection97,26,3032,0,5,10.4
intersection33,26,3032,0,16,9.81
intersection35,26,3032,0,16,11.47
intersection44,26,3032,0,6,8.33
intersection109,26,3032,0,12,30.58
intersection141,27,3136,0,0,0.0
intersection133,27,3137,0,0,0.0
intersection40,27,3148,0,11,14.95
intersection97,27,3148,0,1,16.5
intersection33,27,3149,0,14,22.5
intersection35,27,3149,0,9,33.78
intersection44,27,3149,0,6,0.0
intersection109,27,3149,0,6,6.83
intersection141,28,3252,0,0,0.0
intersection133,28,3253,0,0,0.0
intersection40,28,3265,0,8,1.13
intersection97,28,3265,0,1,50.0
intersection33,28,3265,0,19,32.21
intersection35,28,3265,0,14,58.93
intersection44,28,3265,0,12,39.33
intersection109,28,3265,0,7,9.93
intersection141,29,3368,0,0,0.0
intersection133,29,3369,0,0,0.0
intersection40,29,3381,0,10,18.3
intersection97,29,3381,0,3,68.5
intersection33,29,3382,0,23,2.57
intersection35,29,3382,0,13,21.54
intersection44,29,3382,0,2,0.0
intersection109,29,3382,0,5,6.8
intersection141,30,3484,0,0,0.0
intersection133,30,3485,0,0,0.0
intersection40,30,3498,0,14,8.82
intersection97,30,3498,0,3,20.67
intersection33,30,3498,0,14,20.82
intersection35,30,3498,0,15,10.73
intersection44,30,3498,0,10,12.6
intersection109,30,3498,0,7,9.36
