Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,112,2,1,0.0
intersection35,1,112,4,2,0.0
intersection40,1,112,2,3,0.0
intersection44,1,112,1,1,0.0
intersection97,1,112,0,1,0.0
intersection109,1,112,1,0,0.0
intersection133,1,112,0,0,0.0
intersection141,1,112,0,0,0.0
intersection133,2,224,0,0,0.0
intersection141,2,224,0,0,0.0
intersection33,2,224,4,6,14.42
intersection35,2,224,1,10,15.25
intersection40,2,224,4,11,18.68
intersection44,2,224,12,8,0.0
intersection97,2,224,0,6,9.17
intersection109,2,224,1,2,21.5
intersection133,3,336,0,0,0.0
intersection141,3,336,0,0,0.0
intersection33,3,337,11,13,5.92
intersection35,3,337,7,11,2.14
intersection40,3,337,6,7,10.86
intersection44,3,337,3,13,19.73
intersection97,3,337,0,1,0.0
intersection109,3,337,13,5,11.1
intersection133,4,448,0,0,0.0
intersection141,4,448,0,0,0.0
intersection33,4,449,7,22,24.18
intersection35,4,449,6,25,41.84
intersection40,4,449,8,13,6.31
intersection44,4,449,5,3,3.0
intersection97,4,449,0,1,0.0
intersection109,4,449,14,12,16.38
intersection133,5,560,0,0,0.0
intersection141,5,560,0,0,0.0
intersection33,5,562,9,26,5.56
intersection35,5,562,27,12,2.75
intersection40,5,562,10,9,19.56
intersection44,5,562,3,8,9.25
intersection97,5,562,0,4,15.5
intersection109,5,562,12,11,42.59
intersection133,6,672,0,0,0.0
intersection141,6,672,0,0,0.0
intersection33,6,674,6,18,28.28
intersection35,6,674,3,22,46.27
intersection40,6,674,12,18,6.47
intersection44,6,674,4,11,0.32
intersection97,6,674,0,3,12.17
intersection109,6,674,24,10,20.15
intersection133,7,784,0,0,0.0
intersection141,7,784,0,0,0.0
intersection33,7,787,14,24,18.4
intersection35,7,787,11,15,34.1
intersection40,7,787,7,28,25.84
intersection44,7,787,7,15,19.67
intersection97,7,787,1,2,39.5
intersection109,7,787,3,20,34.73
intersection133,8,896,0,0,0.0
intersection141,8,896,0,0,0.0
intersection33,8,899,3,23,23.04
intersection35,8,899,12,17,32.38
intersection40,8,899,13,15,3.27
intersection44,8,899,4,16,1.16
intersection97,8,899,0,2,0.0
intersection109,8,899,15,6,15.67
intersection141,9,1008,0,0,0.0
intersection133,9,1008,0,0,0.0
intersection33,9,1012,20,23,7.37
intersection35,9,1012,12,20,20.5
intersection40,9,1012,9,15,16.1
intersection44,9,1012,5,9,3.06
intersection97,9,1012,0,2,6.25
intersection109,9,1012,10,16,42.78
intersection141,10,1120,0,0,0.0
intersection133,10,1120,0,0,0.0
intersection33,10,1124,6,32,32.31
intersection35,10,1124,10,19,33.13
intersection40,10,1124,4,21,11.57
intersection44,10,1124,3,13,11.27
intersection97,10,1124,0,3,7.83
intersection109,10,1124,19,7,4.64
intersection141,11,1232,0,0,0.0
intersection133,11,1232,0,0,0.0
intersection33,11,1237,8,28,7.13
intersection35,11,1237,14,15,16.77
