Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,112,1,6,7.0
intersection35,1,112,3,2,10.25
intersection40,1,112,7,3,8.17
intersection44,1,112,9,2,1.75
intersection97,1,112,0,1,0.0
intersection109,1,112,11,0,0.0
intersection133,1,112,0,0,0.0
intersection141,1,112,0,0,0.0
intersection133,2,224,0,0,0.0
intersection141,2,224,0,0,0.0
intersection33,2,224,7,21,7.48
intersection35,2,224,5,14,4.39
intersection40,2,224,7,26,12.56
intersection44,2,224,13,18,5.61
intersection97,2,224,0,5,16.7
intersection109,2,224,4,9,16.33
intersection133,3,336,0,0,0.0
intersection141,3,336,0,0,0.0
intersection33,3,337,14,29,11.52
intersection35,3,337,26,27,6.31
intersection40,3,337,23,15,3.0
intersection44,3,337,12,13,12.08
intersection97,3,337,0,3,12.5
intersection109,3,337,26,7,2.0
intersection133,4,448,0,0,0.0
intersection141,4,448,0,0,0.0
intersection33,4,449,27,42,28.98
intersection35,4,449,17,26,44.5
intersection40,4,449,7,38,18.32
intersection44,4,449,10,15,10.53
intersection97,4,449,0,11,6.59
intersection109,4,449,27,19,17.26
intersection133,5,560,0,0,0.0
intersection141,5,560,0,0,0.0
intersection33,5,562,16,77,10.27
intersection35,5,562,30,42,28.9
intersection40,5,562,14,22,7.36
intersection44,5,562,16,19,6.87
intersection97,5,562,1,5,5.4
intersection109,5,562,21,35,18.69
intersection141,6,672,0,0,0.0
intersection133,6,672,0,0,0.0
intersection33,6,674,19,48,19.84
intersection35,6,674,28,32,34.25
intersection40,6,674,16,33,15.85
intersection44,6,674,12,28,24.21
intersection97,6,674,0,3,28.5
intersection109,6,674,23,17,22.59
intersection141,7,784,0,0,0.0
intersection133,7,784,0,0,0.0
intersection33,7,787,22,54,6.77
intersection35,7,787,19,36,21.82
intersection40,7,787,24,33,13.67
intersection44,7,787,14,20,4.47
intersection97,7,787,3,10,38.75
intersection109,7,787,24,34,21.5
intersection141,8,896,0,0,0.0
intersection133,8,896,0,0,0.0
intersection33,8,899,13,47,23.69
intersection35,8,899,33,34,53.4
intersection40,8,899,26,32,22.89
intersection44,8,899,14,17,10.91
intersection97,8,899,0,5,2.8
intersection109,8,899,30,24,18.29
intersection141,9,1008,0,0,0.0
intersection133,9,1008,0,0,0.0
intersection33,9,1012,22,71,5.25
intersection35,9,1012,36,45,30.8
intersection40,9,1012,18,37,27.01
intersection44,9,1012,10,26,17.23
intersection97,9,1012,4,4,10.13
intersection109,9,1012,24,26,38.63
intersection141,10,1120,0,0,0.0
intersection133,10,1120,0,0,0.0
intersection33,10,1124,20,44,25.64
intersection35,10,1124,21,44,32.73
intersection40,10,1124,20,45,10.54
intersection44,10,1124,12,18,7.25
intersection97,10,1124,2,7,6.43
intersection109,10,1124,38,19,8.18
intersection141,11,1232,0,0,0.0
intersection133,11,1232,0,0,0.0
intersection33,11,1237,18,70,13.36
intersection35,11,1237,34,39,35.88
intersection40,11,1237,16,33,10.26
intersection44,11,1237,20,18,16.31
intersection97,11,1237,0,8,27.63
intersection109,11,1237,7,42,23.44
intersection141,12,1344,0,0,0.0
intersection133,12,1344,0,0,0.0
intersection33,12,1349,12,48,20.65
intersection35,12,1349,27,51,28.63
intersection40,12,1349,18,37,11.68
intersection44,12,1349,12,28,28.64
intersection97,12,1349,0,2,12.0
intersection109,12,1349,29,25,17.8
intersection141,13,1456,0,0,0.0
intersection133,13,1456,0,0,0.0
intersection33,13,1462,37,78,10.36
intersection35,13,1462,32,27,20.43
intersection40,13,1462,27,32,10.3
intersection44,13,1462,20,21,6.81
intersection97,13,1462,3,8,32.19
intersection109,13,1462,17,35,35.91
intersection141,14,1568,0,0,0.0
intersection133,14,1568,0,0,0.0
intersection33,14,1574,6,43,27.09
intersection35,14,1574,22,40,21.54
intersection40,14,1574,10,41,26.52
intersection44,14,1574,10,27,7.57
intersection97,14,1574,1,6,3.17
intersection109,14,1574,51,29,18.93
intersection141,15,1680,0,0,0.0
intersection133,15,1680,0,0,0.0
intersection33,15,1687,28,76,15.51
intersection35,15,1687,30,28,45.46
intersection40,15,1687,38,25,13.64
