Time_Seconds,Lane_ID,Phase_ID,Density_Phi,Pressure_W
20,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
20,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
20,NvcNvl_L3_EW,NONE,0.009,0.0
25,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
25,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
25,NvcNvl_L3_EW,NONE,0.009,0.0
30,304Nvl_L1_NS,304NVL_NS,0.045,0.045
30,304Nvl_L3_NS,NONE,0.037,0.0
30,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
30,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
30,32Mt_L1_NS,32MT_NS,0.006,0.006
30,304Nvl_L2_NS,304NVL_NS,0.038,0.038
30,NvcNvl_L3_EW,NONE,0.009,0.0
30,32Mt_L2_NS,32MT_NS,0.006,0.006
35,304Nvl_L1_NS,304NVL_NS,0.045,0.045
35,32Nvl_L3_NS,NONE,0.008,0.0
35,32Nvl_L2_NS,32NVL_NS,0.008,-0.019
35,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.003
35,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
35,NvcMt_L1_EW,NVCMT_EW,0.006,0.001
35,304Nvl_L2_NS,304NVL_NS,0.038,0.032
35,32Nvl_L1_NS,32NVL_NS,0.007,-0.025
35,NvcNvl_L3_EW,NONE,0.009,0.0
35,NvcMt_L2_EW,NVCMT_EW,0.008,0.002
40,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.003
40,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
40,NvcMt_L1_EW,NVCMT_EW,0.006,0.001
40,NvcNvl_L3_EW,NONE,0.009,0.0
40,NvcMt_L2_EW,NVCMT_EW,0.008,0.002
45,304Nvl_L1_NS,NONE,0.036,0.0
45,32Nvl_L3_NS,NONE,0.008,0.0
45,32Nvl_L2_NS,32NVL_NS,0.008,0.008
45,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.003
45,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
45,NvcMt_L1_EW,NVCMT_EW,0.006,0.001
45,NvcCmt8_L2_NS,NONE,0.011,0.0
45,NvcCmt8_L1_NS,NONE,0.008,0.0
45,32Nvl_L1_NS,32NVL_NS,0.007,0.007
45,NvcNvl_L3_EW,NONE,0.009,0.0
45,NvcMt_L2_EW,NVCMT_EW,0.008,0.002
50,304Nvl_L1_NS,NONE,0.036,0.0
50,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
50,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
50,NvcMt_L2_NS,NONE,0.005,0.0
50,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
50,NvcNvl_L3_EW,NONE,0.009,0.0
