Time_Seconds,Lane_ID,Phase_ID,Density_Phi,Pressure_W
20,304Nvl_L1_NS,304NVL_NS,0.009,0.009
20,304Nvl_L3_NS,NONE,0.007,0.0
20,304Nvl_L2_NS,304NVL_NS,0.008,0.008
30,304Nvl_L1_NS,NONE,0.007,0.0
35,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
35,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
40,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
40,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
45,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
45,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
50,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
50,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
55,32Nvl_L3_NS,NONE,0.007,0.0
55,32Nvl_L1_NS,32NVL_NS,0.007,0.007
55,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
55,NvcCmt8_L2_NS,NONE,0.011,0.0
55,NvcCmt8_L1_NS,NONE,0.008,0.0
55,32Nvl_L2_NS,32NVL_NS,0.007,0.007
55,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
60,32Nvl_L1_NS,32NVL_NS,0.007,0.007
60,NvcNvl_L3_NS,NONE,0.007,0.0
60,NvcNvl_L2_NS,NONE,0.007,0.0
60,32Nvl_L2_NS,32NVL_NS,0.007,0.007
60,NvcNvl_L1_NS,NONE,0.009,0.0
65,304Nvl_L1_EW,304NVL_EW,0.042,0.042
65,304Nvl_L2_EW,304NVL_EW,0.036,0.036
65,32Nvl_L1_NS,32NVL_NS,0.007,0.007
65,NvcCmt8_L2_EW,NVCCMT8_EW,0.026,0.026
65,304Nvl_L3_EW,NONE,0.032,0.0
65,32Nvl_L2_NS,32NVL_NS,0.007,0.007
65,NvcCmt8_L1_EW,NVCCMT8_EW,0.038,0.038
65,NvcCmt8_L1_EW,NONE,0.006,0.0
70,32Nvl_L1_NS,32NVL_NS,0.007,0.007
70,NvcCmt8_L2_EW,NVCCMT8_EW,0.026,0.026
70,32Nvl_L2_NS,32NVL_NS,0.007,0.007
70,NvcCmt8_L1_EW,NVCCMT8_EW,0.038,0.038
75,32Nvl_L1_NS,32NVL_NS,0.007,0.007
75,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
75,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
75,32Nvl_L2_NS,32NVL_NS,0.007,0.007
75,NvcNvl_L3_EW,NONE,0.009,0.0
75,NvcCmt8_L1_EW,NONE,0.029,0.0
80,304Nvl_L1_EW,304NVL_EW,0.042,0.042
80,32Nvl_L1_NS,32NVL_NS,0.007,0.007
80,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
80,32Nvl_L2_NS,32NVL_NS,0.007,0.007
80,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
85,32Nvl_L1_NS,32NVL_NS,0.007,0.007
85,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
85,32Nvl_L2_NS,32NVL_NS,0.007,0.007
85,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
90,32Nvl_L1_NS,32NVL_NS,0.007,0.007
90,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
90,32Mt_L1_NS,32MT_NS,0.006,0.001
90,NvcMt_L2_NS,NONE,0.005,0.0
90,NvcMt_L1_NS,NVCMT_NS,0.007,0.002
90,32Nvl_L2_NS,32NVL_NS,0.007,0.007
90,32Mt_L2_NS,32MT_NS,0.006,0.003
90,NvcMt_L1_NS,NONE,0.005,0.0
90,NvcMt_L2_NS,NVCMT_NS,0.005,0.001
95,304Nvl_L1_NS,304NVL_NS,0.009,0.004
95,304Nvl_L3_NS,NONE,0.007,0.0
95,32Nvl_L1_NS,32NVL_NS,0.007,0.001
95,32Mt_L1_NS,32MT_NS,0.006,0.001
95,NvcMt_L1_NS,NVCMT_NS,0.007,0.002
95,304Nvl_L2_NS,304NVL_NS,0.008,0.008
95,32Nvl_L2_NS,32NVL_NS,0.007,0.001
95,32Mt_L2_NS,32MT_NS,0.006,0.003
95,NvcMt_L2_NS,NVCMT_NS,0.005,0.001
100,304Nvl_L1_NS,304NVL_NS,0.009,0.004
100,304Nvl_L3_NS,NONE,0.007,0.0
100,32Nvl_L1_NS,32NVL_NS,0.007,0.001
100,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
100,304Nvl_L2_NS,304NVL_NS,0.008,0.008
100,32Nvl_L2_NS,32NVL_NS,0.007,0.001
