Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
NVCMT,1,112,0.0,0,0.0
NVCMT,1,112,0.0,0,0.0
NVCMT,1,112,0.0,0,0.0
NVCMT,1,112,0.0,0,0.0
304THN,1,112,0.0,0,0.0
304THN,1,112,0.0,0,0.0
304THN,1,112,0.0,0,0.0
NVCNVL,1,112,0.0,3,0.0
NVCNVL,1,112,0.0,2,0.0
NVCNVL,1,112,0.0,3,0.0
NVCNVL,1,112,0.0,3,0.0
32NVL,1,112,1.0,1,0.0
32NVL,1,112,1.0,2,0.0
32NVL,1,112,1.0,2,0.0
32NVL,1,112,1.0,0,0.0
32MT,1,112,0.0,1,0.0
32MT,1,112,0.0,4,0.0
32MT,1,112,0.0,2,0.0
304NVL,1,112,0.07,1,0.0
304NVL,1,112,0.07,2,0.0
304NVL,1,112,0.07,3,0.0
NVCCMT8,1,112,0.0,1,0.0
NVCCMT8,1,112,0.0,1,0.0
NVCCMT8,1,112,0.0,0,0.0
NVCCMT8,1,112,0.0,0,0.0
32THN,1,112,0.0,0,0.0
32THN,1,112,0.0,0,0.0
NVCMT,2,224,0.1,3,0.0
NVCMT,2,224,0.1,2,0.0
NVCMT,2,224,0.1,1,0.0
NVCMT,2,224,0.1,2,0.0
304THN,2,224,0.0,0,0.0
304THN,2,224,0.0,0,0.0
304THN,2,224,0.0,0,0.0
NVCNVL,2,224,0.0,6,0.0
NVCNVL,2,224,0.0,8,0.0
NVCNVL,2,224,0.0,7,0.07
NVCNVL,2,224,0.0,7,0.0
32NVL,2,224,1.57,4,7.38
32NVL,2,224,1.57,4,0.0
32NVL,2,224,1.57,5,9.1
32NVL,2,224,1.57,5,0.0
32MT,2,224,0.34,5,0.0
32MT,2,224,0.34,6,0.0
32MT,2,224,0.34,7,3.71
304NVL,2,224,0.58,4,0.0
304NVL,2,224,0.58,5,8.5
304NVL,2,224,0.58,4,0.0
NVCCMT8,2,224,0.07,1,1.0
NVCCMT8,2,224,0.07,0,0.0
NVCCMT8,2,224,0.07,0,0.0
