'Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay'
Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,120,0,0,0.0
intersection35,1,120,0,1,0.0
intersection40,1,120,0,1,0.0
intersection44,1,120,0,2,0.75
intersection97,1,120,0,0,0.0
intersection109,1,120,0,1,0.0
intersection133,1,120,0,0,0.0
intersection141,1,120,0,0,0.0
intersection133,2,236,0,0,0.0
intersection141,2,236,0,0,0.0
intersection33,2,236,0,9,21.56
intersection35,2,236,0,3,0.0
intersection40,2,236,0,6,43.67
intersection44,2,236,0,8,0.44
intersection97,2,236,0,5,16.3
intersection109,2,236,0,1,0.0
intersection133,3,352,0,0,0.0
intersection141,3,352,0,0,0.0
intersection33,3,353,0,15,6.53
intersection35,3,353,0,16,5.91
intersection40,3,353,0,7,3.36
intersection44,3,353,0,8,3.31
intersection97,3,353,0,3,0.0
intersection109,3,353,0,6,5.5
intersection133,4,468,0,0,0.0
intersection141,4,468,0,0,0.0
intersection33,4,469,0,17,9.65
intersection35,4,469,0,14,22.93
intersection40,4,469,0,9,34.5
intersection44,4,469,0,9,19.72
intersection97,4,469,0,1,0.0
intersection109,4,469,0,7,17.79
intersection133,5,584,0,0,0.0
intersection141,5,584,0,0,0.0
intersection33,5,586,0,23,20.67
intersection35,5,586,0,16,31.16
intersection40,5,586,0,8,6.31
intersection44,5,586,0,9,17.22
intersection97,5,586,0,0,0.0
intersection109,5,586,0,14,13.43
intersection133,6,700,0,0,0.0
intersection141,6,700,0,0,0.0
intersection33,6,702,0,17,7.88
intersection35,6,702,0,15,53.97
intersection40,6,702,0,13,23.08
intersection44,6,702,0,6,4.58
intersection97,6,702,0,5,32.5
intersection109,6,702,0,12,16.17
intersection133,7,816,0,0,0.0
intersection141,7,816,0,0,0.0
intersection33,7,819,0,27,12.15
intersection35,7,819,0,12,13.13
intersection40,7,819,0,14,6.11
intersection44,7,819,0,9,3.72
intersection97,7,819,0,1,21.0
intersection109,7,819,0,7,23.36
intersection133,8,932,0,0,0.0
intersection141,8,932,0,0,0.0
intersection33,8,935,0,16,10.56
intersection35,8,935,0,12,18.42
intersection40,8,935,0,11,19.27
intersection44,8,935,0,9,10.72
intersection97,8,935,0,3,31.17
intersection109,8,935,0,11,26.27
intersection133,9,1048,0,0,0.0
intersection141,9,1048,0,0,0.0
intersection33,9,1052,0,21,22.14
intersection35,9,1052,0,9,19.44
intersection40,9,1052,0,13,8.81
intersection44,9,1052,0,13,2.04
intersection97,9,1052,0,0,0.0
intersection109,9,1052,0,8,2.0
intersection133,10,1164,0,0,0.0
intersection141,10,1164,0,0,0.0
intersection33,10,1168,0,26,6.13
intersection35,10,1168,0,16,30.66
intersection40,10,1168,0,12,10.42
intersection44,10,1168,0,10,9.9
intersection97,10,1168,0,0,0.0
intersection109,10,1168,0,7,11.14
intersection133,11,1280,0,0,0.0
intersection141,11,1280,0,0,0.0
intersection33,11,1285,0,24,9.69
intersection35,11,1285,0,22,30.2
intersection40,11,1285,0,16,15.0
intersection44,11,1285,0,3,0.0
intersection97,11,1285,0,0,0.0
intersection109,11,1285,0,4,26.13
intersection133,12,1396,0,0,0.0
intersection141,12,1396,0,0,0.0
intersection33,12,1401,0,25,18.48
intersection35,12,1401,0,13,29.04
intersection40,12,1401,0,9,19.89
intersection44,12,1401,0,6,0.0
intersection97,12,1401,0,4,32.5
intersection109,12,1401,0,6,17.5
intersection133,13,1512,0,0,0.0
intersection141,13,1512,0,0,0.0
intersection33,13,1518,0,18,3.97
intersection35,13,1518,0,14,23.57
intersection40,13,1518,0,12,13.17
intersection44,13,1518,0,10,1.65
intersection97,13,1518,0,2,9.0
intersection109,13,1518,0,11,26.91
intersection133,14,1628,0,0,0.0
intersection141,14,1628,0,0,0.0
intersection33,14,1634,0,14,19.21
intersection35,14,1634,0,18,39.14
intersection40,14,1634,0,14,19.21
intersection44,14,1634,0,8,8.06
intersection97,14,1634,0,1,22.5
intersection109,14,1634,0,8,14.88
intersection133,15,1744,0,0,0.0
intersection141,15,1744,0,0,0.0
intersection33,15,1751,0,20,7.28
intersection35,15,1751,0,13,16.19
intersection40,15,1751,0,16,26.38
intersection44,15,1751,0,7,3.86
intersection97,15,1751,0,1,41.0
intersection109,15,1751,0,17,27.74
intersection133,16,1860,0,0,0.0
intersection141,16,1860,0,0,0.0
intersection33,16,1867,0,25,9.0
intersection35,16,1867,0,13,30.54
intersection40,16,1867,0,16,15.41
intersection44,16,1867,0,2,5.0
intersection97,16,1867,0,0,0.0
intersection109,16,1867,0,17,9.59
intersection133,17,1976,0,0,0.0
intersection141,17,1976,0,0,0.0
intersection33,17,1984,0,17,3.88
intersection35,17,1984,0,6,31.92
intersection40,17,1984,0,14,23.18
intersection44,17,1984,0,7,5.07
intersection97,17,1984,0,4,70.13
intersection109,17,1984,0,12,12.33
intersection133,18,2092,0,0,0.0
intersection141,18,2092,0,0,0.0
intersection33,18,2100,0,22,21.59
intersection35,18,2100,0,16,21.5
intersection40,18,2100,0,13,9.27
intersection44,18,2100,0,11,8.14
intersection97,18,2100,0,1,35.5
intersection109,18,2100,0,12,19.0
intersection133,19,2208,0,0,0.0
intersection141,19,2208,0,0,0.0
intersection33,19,2217,0,25,6.88
intersection35,19,2217,0,14,32.46
intersection40,19,2217,0,7,10.86
intersection44,19,2217,0,9,6.17
intersection97,19,2217,0,0,0.0
intersection109,19,2217,0,13,15.69
intersection133,20,2324,0,0,0.0
intersection141,20,2324,0,0,0.0
intersection33,20,2333,0,17,18.59
intersection35,20,2333,0,12,27.42
intersection40,20,2333,0,24,22.67
intersection44,20,2333,0,6,5.67
intersection97,20,2333,0,3,71.83
intersection109,20,2333,0,9,2.28
intersection133,21,2440,0,0,0.0
intersection141,21,2440,0,0,0.0
intersection33,21,2450,0,22,13.84
intersection35,21,2450,0,13,27.04
intersection40,21,2450,0,10,5.0
intersection44,21,2450,0,12,5.96
intersection97,21,2450,0,6,31.5
intersection109,21,2450,0,5,29.3
intersection133,22,2556,0,0,0.0
intersection141,22,2556,0,0,0.0
intersection33,22,2566,0,23,16.13
intersection35,22,2566,0,10,23.35
intersection40,22,2566,0,20,19.75
intersection44,22,2566,0,16,4.72
intersection97,22,2566,0,1,38.5
intersection109,22,2566,0,9,12.06
intersection133,23,2672,0,0,0.0
intersection141,23,2672,0,0,0.0
intersection33,23,2683,0,16,16.28
intersection35,23,2683,0,20,30.95
intersection40,23,2683,0,19,6.95
intersection44,23,2683,0,6,4.92
intersection97,23,2683,0,0,0.0
intersection109,23,2683,0,6,8.58
intersection133,24,2788,0,0,0.0
intersection141,24,2788,0,0,0.0
intersection33,24,2799,0,21,10.02
intersection35,24,2799,0,11,41.95
intersection40,24,2799,0,15,13.97
intersection44,24,2799,0,10,3.45
intersection97,24,2799,0,1,23.0
intersection109,24,2799,0,11,12.91
intersection133,25,2904,0,0,0.0
intersection141,25,2904,0,0,0.0
intersection33,25,2916,0,18,13.69
intersection35,25,2916,0,16,26.53
intersection40,25,2916,0,11,5.59
intersection44,25,2916,0,6,6.83
intersection97,25,2916,0,6,31.92
intersection109,25,2916,0,10,11.45
intersection133,26,3020,0,0,0.0
intersection141,26,3020,0,0,0.0
intersection33,26,3032,0,17,18.44
intersection35,26,3032,0,13,24.5
intersection40,26,3032,0,19,21.24
intersection44,26,3032,0,9,2.28
intersection97,26,3032,0,3,0.0
intersection109,26,3032,0,15,16.67
intersection133,27,3136,0,0,0.0
intersection141,27,3136,0,0,0.0
intersection33,27,3149,0,14,40.93
intersection35,27,3149,0,12,20.38
intersection40,27,3149,0,6,1.92
intersection44,27,3149,0,8,10.0
intersection97,27,3149,0,2,0.0
intersection109,27,3149,0,5,5.6
intersection133,28,3252,0,0,0.0
intersection141,28,3252,0,0,0.0
intersection33,28,3265,0,25,12.2
intersection35,28,3265,0,7,15.79
intersection40,28,3265,0,14,26.04
intersection44,28,3265,0,7,11.0
intersection97,28,3265,0,0,0.0
intersection109,28,3265,0,16,49.28
intersection133,29,3368,0,0,0.0
intersection141,29,3368,0,1,0.0
intersection33,29,3382,0,25,29.28
intersection35,29,3382,0,16,26.03
intersection40,29,3382,0,10,6.3
intersection44,29,3382,0,5,21.4
intersection97,29,3382,0,3,65.33
intersection109,29,3382,0,7,9.29
intersection133,30,3484,0,0,0.0
intersection141,30,3484,0,1,0.0
intersection33,30,3498,0,21,8.38
intersection35,30,3498,0,11,58.14
intersection40,30,3498,0,16,23.75
intersection44,30,3498,0,9,6.11
intersection97,30,3498,0,1,0.0
intersection109,30,3498,0,19,53.84
intersection133,31,3600,0,0,0.0
