Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
NVCMT,1,112,0.1,1,3.0
NVCMT,1,112,0.1,0,0.0
NVCMT,1,112,0.1,0,0.0
NVCMT,1,112,0.1,0,0.0
304THN,1,112,0.0,0,0.0
304THN,1,112,0.0,0,0.0
304THN,1,112,0.0,0,0.0
NVCNVL,1,112,0.0,2,0.0
NVCNVL,1,112,0.0,2,0.0
NVCNVL,1,112,0.0,2,0.0
NVCNVL,1,112,0.0,2,0.0
32NVL,1,112,0.98,1,0.0
32NVL,1,112,0.98,2,0.0
32NVL,1,112,0.98,2,0.25
32NVL,1,112,0.98,2,0.0
32MT,1,112,0.0,0,0.0
32MT,1,112,0.0,1,0.0
32MT,1,112,0.0,0,0.0
304NVL,1,112,0.12,0,0.0
304NVL,1,112,0.12,4,1.25
304NVL,1,112,0.12,1,0.0
NVCCMT8,1,112,0.0,0,0.0
NVCCMT8,1,112,0.0,0,0.0
NVCCMT8,1,112,0.0,0,0.0
NVCCMT8,1,112,0.0,0,0.0
32THN,1,112,0.0,0,0.0
32THN,1,112,0.0,0,0.0
NVCMT,2,224,0.25,4,1.63
NVCMT,2,224,0.25,1,0.0
NVCMT,2,224,0.25,1,0.0
NVCMT,2,224,0.25,1,0.0
304THN,2,224,0.0,0,0.0
304THN,2,224,0.0,0,0.0
304THN,2,224,0.0,0,0.0
NVCNVL,2,224,0.31,6,0.0
NVCNVL,2,224,0.31,7,2.71
NVCNVL,2,224,0.31,5,0.0
NVCNVL,2,224,0.31,5,0.0
32MT,2,224,0.33,2,0.0
32MT,2,224,0.33,7,0.0
32MT,2,224,0.33,4,6.13
304NVL,2,224,0.98,3,0.0
304NVL,2,224,0.98,4,15.75
304NVL,2,224,0.98,2,0.0
NVCCMT8,2,224,0.11,1,2.0
NVCCMT8,2,224,0.11,0,0.0
NVCCMT8,2,224,0.11,0,0.0
NVCCMT8,2,224,0.11,1,0.0
32THN,2,224,0.0,0,0.0
32THN,2,224,0.0,0,0.0
