Time_Seconds,Lane_ID,Phase_ID,Density_Phi,Pressure_W
30,304Nvl_L1_NS,304NVL_NS,0.009,0.009
30,304Nvl_L3_NS,NONE,0.007,0.0
30,NvcNvl_L1_EW,NVCNVL_EW,0.035,0.035
30,NvcNvl_L2_EW,NVCNVL_EW,0.039,0.039
30,32Mt_L1_NS,NONE,0.01,0.0
30,304Nvl_L2_NS,304NVL_NS,0.008,0.008
30,NvcNvl_L3_EW,NONE,0.047,0.0
30,32Mt_L2_NS,NONE,0.009,0.0
35,NvcNvl_L1_EW,NVCNVL_EW,0.035,0.035
35,NvcNvl_L2_EW,NVCNVL_EW,0.039,0.039
35,NvcNvl_L3_EW,NONE,0.047,0.0
40,NvcNvl_L1_EW,NVCNVL_EW,0.035,0.035
40,NvcNvl_L2_EW,NVCNVL_EW,0.039,0.039
40,32Mt_L1_NS,32MT_NS,0.006,0.006
40,NvcNvl_L3_EW,NONE,0.047,0.0
45,304Nvl_L1_EW,NONE,0.008,0.0
45,NvcNvl_L1_EW,NVCNVL_EW,0.035,0.031
45,NvcNvl_L2_EW,NVCNVL_EW,0.039,0.039
45,NvcMt_L1_EW,NVCMT_EW,0.006,-0.018
45,NvcNvl_L3_EW,NONE,0.047,0.0
45,NvcMt_L2_EW,NVCMT_EW,0.008,-0.019
50,NvcNvl_L1_EW,NVCNVL_EW,0.035,0.031
50,NvcNvl_L2_EW,NVCNVL_EW,0.039,0.039
50,NvcMt_L1_EW,NVCMT_EW,0.006,-0.018
50,NvcNvl_L3_EW,NONE,0.047,0.0
50,NvcMt_L2_EW,NVCMT_EW,0.008,-0.019
55,NvcNvl_L1_EW,NVCNVL_EW,0.042,0.038
55,NvcNvl_L2_EW,NVCNVL_EW,0.047,0.047
55,NvcMt_L1_EW,NVCMT_EW,0.006,-0.023
55,NvcNvl_L3_EW,NONE,0.056,0.0
55,NvcMt_L2_EW,NVCMT_EW,0.008,-0.025
60,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
60,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
60,NvcNvl_L3_EW,NONE,0.009,0.0
65,NvcCmt8_L2_NS,NONE,0.011,0.0
65,NvcCmt8_L1_NS,NONE,0.008,0.0
75,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
75,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
80,304Nvl_L1_EW,304NVL_EW,0.008,0.008
80,304Nvl_L2_EW,304NVL_EW,0.007,0.007
80,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
80,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
85,304Nvl_L1_EW,304NVL_EW,0.008,0.008
85,304Nvl_L2_EW,304NVL_EW,0.007,0.007
85,32Mt_L1_NS,32MT_NS,0.006,0.006
85,304Nvl_L3_EW,NONE,0.006,0.0
85,32Mt_L2_NS,32MT_NS,0.006,0.006
90,32Nvl_L3_NS,NONE,0.017,0.0
90,32Nvl_L2_NS,32NVL_NS,0.016,0.016
90,32Mt_L1_NS,32MT_NS,0.006,0.006
90,32Nvl_L1_NS,32NVL_NS,0.013,0.013
90,32Mt_L2_NS,32MT_NS,0.006,0.006
95,304Nvl_L1_EW,304NVL_EW,0.008,0.008
95,32Nvl_L3_NS,NONE,0.017,0.0
95,32Nvl_L2_NS,32NVL_NS,0.016,0.016
95,32Mt_L1_NS,32MT_NS,0.006,0.006
95,32Nvl_L1_NS,32NVL_NS,0.013,0.013
95,32Mt_L2_NS,32MT_NS,0.006,0.006
100,32Nvl_L3_NS,NONE,0.017,0.0
100,32Nvl_L2_NS,32NVL_NS,0.016,0.016
100,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
100,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
100,32Mt_L1_NS,32MT_NS,0.006,0.006
100,32Nvl_L1_NS,32NVL_NS,0.013,0.013
100,NvcNvl_L3_EW,NONE,0.009,0.0
100,32Mt_L2_NS,32MT_NS,0.006,0.006
105,32Nvl_L3_NS,NONE,0.017,0.0
105,32Nvl_L2_NS,32NVL_NS,0.016,0.016
105,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
105,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
105,32Nvl_L1_NS,32NVL_NS,0.013,0.013
110,304Thn_L1_EW,NONE,0.007,0.0
110,304Thn_L2_EW,NONE,0.008,0.0
110,304Nvl_L1_EW,304NVL_EW,0.008,0.008
110,304Nvl_L2_EW,304NVL_EW,0.007,0.007
110,32Nvl_L3_NS,NONE,0.017,0.0
110,32Nvl_L2_NS,32NVL_NS,0.016,0.016
110,NvcNvl_L3_NS,NONE,0.014,0.0
110,NvcNvl_L2_NS,NONE,0.013,0.0
110,32Mt_L1_EW,32MT_EW,0.007,0.007
110,32Mt_L1_NS,NONE,0.01,0.0
110,304Nvl_L3_EW,NONE,0.006,0.0
110,32Nvl_L1_NS,32NVL_NS,0.013,0.013
110,NvcNvl_L1_NS,NONE,0.017,0.0
110,32Mt_L2_EW,32MT_EW,0.005,0.005
110,32Mt_L2_NS,NONE,0.009,0.0
110,304Thn_L3_EW,NONE,0.008,0.0
115,304Thn_L1_EW,304THN_EW,0.008,0.008
115,NvcNvl_L1_EW,NVCNVL_EW,0.035,0.035
115,NvcNvl_L2_EW,NVCNVL_EW,0.039,0.039
115,NvcNvl_L3_EW,NONE,0.047,0.0
120,304Thn_L1_EW,304THN_EW,0.008,0.008
120,304Nvl_L1_NS,NONE,0.007,0.0
120,32Nvl_L1_NS,32NVL_NS,0.007,0.007
120,NvcNvl_L1_EW,NONE,0.011,0.0
120,NvcNvl_L2_EW,NONE,0.008,0.0
120,NvcNvl_L1_EW,NVCNVL_EW,0.035,0.031
120,NvcNvl_L2_EW,NVCNVL_EW,0.039,0.039
120,32Mt_L1_NS,32MT_NS,0.006,0.006
120,NvcMt_L1_EW,NVCMT_EW,0.006,-0.018
120,NvcNvl_L3_EW,NONE,0.047,0.0
120,NvcMt_L2_EW,NVCMT_EW,0.008,-0.019
125,304Thn_L1_EW,304THN_EW,0.008,0.008
125,32Nvl_L1_NS,32NVL_NS,0.007,0.007
125,NvcNvl_L1_EW,NVCNVL_EW,0.035,0.031
125,NvcNvl_L2_EW,NVCNVL_EW,0.039,0.039
125,NvcMt_L2_NS,NONE,0.005,0.0
125,NvcMt_L1_EW,NVCMT_EW,0.006,-0.018
