Time_Seconds,Lane_ID,Phase_ID,Density_Phi,Pressure_W
5,NvcMt_L1_EW,NVCMT_EW,0.032,0.032
5,NvcMt_L2_EW,NVCMT_EW,0.04,0.04
10,NvcMt_L1_EW,NVCMT_EW,0.032,0.032
10,NvcMt_L2_EW,NVCMT_EW,0.04,0.04
15,NvcMt_L1_EW,NVCMT_EW,0.032,0.032
15,NvcMt_L2_EW,NVCMT_EW,0.04,0.04
25,32Nvl_L3_NS,NONE,0.008,0.0
25,32Nvl_L2_NS,32NVL_NS,0.008,0.008
25,NvcNvl_L3_NS,NONE,0.007,0.0
25,NvcNvl_L2_NS,NONE,0.007,0.0
25,32Nvl_L1_NS,32NVL_NS,0.007,0.007
25,NvcNvl_L1_NS,NONE,0.009,0.0
30,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
30,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
30,NvcNvl_L3_EW,NONE,0.009,0.0
35,NvcNvl_L1_EW,NVCNVL_EW,0.014,0.014
35,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
35,NvcNvl_L3_EW,NONE,0.009,0.0
40,NvcNvl_L1_EW,NVCNVL_EW,0.014,0.014
40,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
40,NvcNvl_L3_EW,NONE,0.009,0.0
45,NvcNvl_L1_EW,NVCNVL_EW,0.014,0.01
45,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
45,NvcMt_L1_EW,NVCMT_EW,0.006,-0.004
45,NvcCmt8_L2_NS,NONE,0.011,0.0
45,NvcCmt8_L1_NS,NONE,0.008,0.0
45,NvcNvl_L3_EW,NONE,0.009,0.0
45,NvcMt_L2_EW,NVCMT_EW,0.008,0.002
50,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.003
50,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
50,NvcMt_L1_EW,NVCMT_EW,0.006,0.001
50,NvcNvl_L3_EW,NONE,0.009,0.0
50,NvcMt_L2_EW,NVCMT_EW,0.008,0.002
55,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.003
55,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
55,32Mt_L1_NS,NONE,0.01,0.0
55,NvcMt_L1_EW,NVCMT_EW,0.006,-0.063
55,NvcCmt8_L2_EW,NVCCMT8_EW,0.063,0.063
55,NvcNvl_L3_EW,NONE,0.009,0.0
55,32Mt_L2_NS,NONE,0.009,0.0
55,NvcMt_L2_EW,NVCMT_EW,0.008,-0.042
55,NvcCmt8_L1_EW,NVCCMT8_EW,0.092,0.088
60,NvcCmt8_L2_NS,NONE,0.012,0.0
60,NvcCmt8_L2_EW,NVCCMT8_EW,0.063,0.063
60,NvcCmt8_L1_NS,NONE,0.011,0.0
60,NvcCmt8_L1_EW,NVCCMT8_EW,0.092,0.092
65,304Nvl_L1_NS,304NVL_NS,0.009,0.009
65,304Nvl_L3_NS,NONE,0.007,0.0
65,32Nvl_L3_NS,NONE,0.008,0.0
65,32Nvl_L2_NS,32NVL_NS,0.008,0.003
65,32Mt_L1_NS,32MT_NS,0.006,0.006
65,NvcCmt8_L2_EW,NVCCMT8_EW,0.069,0.069
65,304Nvl_L2_NS,304NVL_NS,0.008,0.002
65,32Nvl_L1_NS,32NVL_NS,0.007,0.0
65,NvcCmt8_L1_EW,NVCCMT8_EW,0.1,0.1
70,304Nvl_L1_NS,304NVL_NS,0.009,0.009
70,304Nvl_L3_NS,NONE,0.007,0.0
70,32Nvl_L3_NS,NONE,0.017,0.0
70,32Nvl_L2_NS,32NVL_NS,0.016,0.01
70,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
70,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
70,32Mt_L1_NS,32MT_NS,0.006,0.006
70,304Nvl_L2_NS,304NVL_NS,0.008,-0.003
70,32Nvl_L1_NS,32NVL_NS,0.013,0.007
70,NvcNvl_L3_EW,NONE,0.009,0.0
70,NvcCmt8_L1_EW,NONE,0.069,0.0
75,304Nvl_L1_NS,304NVL_NS,0.009,0.009
75,304Nvl_L3_NS,NONE,0.007,0.0
75,304Nvl_L1_EW,304NVL_EW,0.008,0.008
75,304Nvl_L2_EW,304NVL_EW,0.007,0.007
75,32Nvl_L3_NS,NONE,0.017,0.0
75,32Nvl_L2_NS,32NVL_NS,0.016,0.01
75,32Mt_L1_NS,32MT_NS,0.006,0.006
75,304Nvl_L2_NS,304NVL_NS,0.008,-0.003
75,304Nvl_L3_EW,NONE,0.006,0.0
75,32Nvl_L1_NS,32NVL_NS,0.013,0.007
75,32Mt_L2_NS,32MT_NS,0.006,0.006
75,NvcCmt8_L1_EW,NONE,0.069,0.0
80,304Nvl_L1_NS,304NVL_NS,0.009,0.009
80,304Nvl_L3_NS,NONE,0.007,0.0
80,32Nvl_L3_NS,NONE,0.017,0.0
80,32Nvl_L2_NS,32NVL_NS,0.016,0.01
80,32Mt_L1_NS,32MT_NS,0.006,0.006
80,32Mt_L1_NS,NONE,0.049,0.0
80,304Nvl_L2_NS,304NVL_NS,0.008,-0.003
80,32Nvl_L1_NS,32NVL_NS,0.013,0.007
80,32Mt_L2_NS,32MT_NS,0.006,0.006
80,32Mt_L2_NS,NONE,0.043,0.0
85,304Nvl_L1_NS,304NVL_NS,0.009,0.009
85,304Nvl_L3_NS,NONE,0.007,0.0
85,304Nvl_L1_NS,NONE,0.007,0.0
85,32Nvl_L3_NS,NONE,0.017,0.0
85,32Nvl_L2_NS,32NVL_NS,0.016,0.01
85,32Mt_L1_NS,32MT_NS,0.044,0.044
85,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
85,304Nvl_L2_NS,304NVL_NS,0.008,-0.003
85,32Nvl_L1_NS,32NVL_NS,0.013,0.007
85,32Mt_L2_NS,32MT_NS,0.013,0.013
85,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
90,304Nvl_L1_NS,304NVL_NS,0.009,0.009
90,304Nvl_L3_NS,NONE,0.007,0.0
90,304Nvl_L1_EW,304NVL_EW,0.008,0.008
90,304Nvl_L2_EW,304NVL_EW,0.007,0.007
90,32Nvl_L3_NS,NONE,0.017,0.0
90,32Nvl_L2_NS,32NVL_NS,0.016,0.01
90,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
90,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
90,32Mt_L1_NS,32MT_NS,0.006,0.006
90,304Nvl_L2_NS,304NVL_NS,0.008,-0.003
90,304Nvl_L3_EW,NONE,0.006,0.0
90,32Nvl_L1_NS,32NVL_NS,0.013,0.007
90,NvcNvl_L3_EW,NONE,0.009,0.0
90,32Mt_L2_NS,32MT_NS,0.006,0.006
95,304Nvl_L1_NS,304NVL_NS,0.018,0.018
95,304Nvl_L3_NS,NONE,0.015,0.0
95,32Nvl_L3_NS,NONE,0.017,0.0
95,32Nvl_L2_NS,32NVL_NS,0.016,0.005
95,NvcNvl_L3_NS,NONE,0.007,0.0
95,NvcNvl_L2_NS,NONE,0.007,0.0
95,32Mt_L1_NS,32MT_NS,0.006,0.006
95,32Mt_L1_EW,NONE,0.007,0.0
95,304Nvl_L2_NS,304NVL_NS,0.015,0.004
95,32Nvl_L1_NS,32NVL_NS,0.013,0.001
95,NvcNvl_L1_NS,NONE,0.009,0.0
95,32Mt_L2_NS,32MT_NS,0.006,0.006
100,304Nvl_L1_NS,304NVL_NS,0.018,0.018
100,304Nvl_L3_NS,NONE,0.015,0.0
100,304Nvl_L1_NS,NONE,0.007,0.0
100,32Nvl_L3_NS,NONE,0.017,0.0
100,32Nvl_L2_NS,32NVL_NS,0.016,0.005
100,32Mt_L1_NS,32MT_NS,0.006,0.006
100,32Mt_L1_NS,NONE,0.01,0.0
100,304Nvl_L2_NS,304NVL_NS,0.015,0.004
100,32Nvl_L1_NS,32NVL_NS,0.013,0.001
100,32Mt_L2_NS,32MT_NS,0.006,0.006
100,32Mt_L2_NS,NONE,0.009,0.0
105,304Nvl_L1_NS,304NVL_NS,0.018,0.018
105,304Nvl_L3_NS,NONE,0.015,0.0
105,32Nvl_L3_NS,NONE,0.017,0.0
105,32Nvl_L2_NS,32NVL_NS,0.016,0.005
105,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
105,32Mt_L1_NS,32MT_NS,0.006,0.006
105,304Nvl_L2_NS,304NVL_NS,0.015,0.004
105,32Nvl_L1_NS,32NVL_NS,0.013,0.001
105,32Mt_L2_NS,32MT_NS,0.006,0.006
110,304Nvl_L1_NS,304NVL_NS,0.018,0.013
110,304Nvl_L3_NS,NONE,0.015,0.0
110,32Nvl_L1_NS,32NVL_NS,0.007,-0.006
110,32Nvl_L3_NS,NONE,0.017,0.0
110,32Nvl_L2_NS,32NVL_NS,0.016,0.005
110,NvcNvl_L3_NS,NONE,0.007,0.0
110,NvcNvl_L2_NS,NONE,0.007,0.0
110,32Mt_L1_NS,32MT_NS,0.006,0.006
110,NvcMt_L2_NS,NONE,0.005,0.0
110,304Nvl_L2_NS,304NVL_NS,0.015,0.004
110,32Nvl_L2_NS,32NVL_NS,0.007,-0.004
110,32Nvl_L1_NS,32NVL_NS,0.013,0.001
110,NvcNvl_L1_NS,NONE,0.009,0.0
110,NvcMt_L1_NS,NONE,0.005,0.0
115,32Nvl_L1_NS,32NVL_NS,0.007,0.007
115,32Mt_L1_NS,32MT_NS,0.006,0.006
115,32Nvl_L2_NS,32NVL_NS,0.007,0.007
120,NvcNvl_L1_EW,NONE,0.011,0.0
120,NvcNvl_L2_EW,NONE,0.008,0.0
120,32Mt_L1_EW,NONE,0.007,0.0
120,32Mt_L1_NS,NONE,0.127,0.0
120,NvcCmt8_L2_NS,NONE,0.011,0.0
120,NvcCmt8_L1_NS,NONE,0.008,0.0
120,32Mt_L2_NS,NONE,0.113,0.0
125,304Nvl_L1_NS,NONE,0.007,0.0
125,32Nvl_L1_NS,32NVL_NS,0.014,0.014
125,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
125,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
125,32Mt_L1_NS,NONE,0.127,0.0
125,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
125,32Nvl_L2_NS,32NVL_NS,0.007,0.007
125,NvcNvl_L3_EW,NONE,0.009,0.0
125,32Mt_L2_NS,NONE,0.113,0.0
125,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
130,304Nvl_L1_EW,304NVL_EW,0.008,0.008
130,304Nvl_L2_EW,304NVL_EW,0.007,0.007
130,32Nvl_L3_NS,NONE,0.008,0.0
130,32Nvl_L2_NS,32NVL_NS,0.008,0.008
130,NvcNvl_L3_NS,NONE,0.034,0.0
130,NvcNvl_L2_NS,NONE,0.033,0.0
130,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
130,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
130,32Mt_L1_EW,32MT_EW,0.007,0.007
130,32Nvl_L1_NS,32NVL_NS,0.02,0.02
130,NvcNvl_L1_NS,NONE,0.044,0.0
130,NvcNvl_L3_EW,NONE,0.009,0.0
135,304Nvl_L1_EW,304NVL_EW,0.008,0.008
135,304Nvl_L2_EW,304NVL_EW,0.007,0.007
135,32Nvl_L3_NS,NONE,0.008,0.0
135,32Nvl_L2_NS,32NVL_NS,0.008,0.008
135,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
135,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
135,32Mt_L1_EW,32MT_EW,0.014,0.014
135,32Mt_L1_NS,NONE,0.117,0.0
135,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
135,304Nvl_L3_EW,NONE,0.006,0.0
135,32Nvl_L1_NS,32NVL_NS,0.013,0.013
135,NvcNvl_L3_EW,NONE,0.009,0.0
135,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
140,304Nvl_L1_EW,304NVL_EW,0.008,0.008
140,304Nvl_L2_EW,304NVL_EW,0.007,0.007
140,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
140,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
140,32Mt_L1_EW,32MT_EW,0.014,0.014
140,304Nvl_L3_EW,NONE,0.006,0.0
140,32Nvl_L1_NS,32NVL_NS,0.007,0.007
140,NvcNvl_L3_EW,NONE,0.009,0.0
140,32Mt_L2_EW,32MT_EW,0.011,0.011
145,304Nvl_L1_EW,304NVL_EW,0.008,0.008
145,304Nvl_L2_EW,304NVL_EW,0.007,0.007
145,32Nvl_L1_EW,32NVL_EW,0.007,-0.008
145,32Nvl_L2_EW,32NVL_EW,0.008,0.0
145,NvcNvl_L3_NS,NONE,0.007,0.0
145,NvcNvl_L2_NS,NONE,0.007,0.0
145,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
145,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
145,32Mt_L1_EW,32MT_EW,0.021,0.016
145,32Mt_L1_NS,NONE,0.01,0.0
145,NvcMt_L2_NS,NONE,0.005,0.0
145,304Nvl_L3_EW,NONE,0.006,0.0
145,32Nvl_L3_EW,NONE,0.006,0.0
145,NvcNvl_L1_NS,NONE,0.009,0.0
145,NvcNvl_L3_EW,NONE,0.009,0.0
145,32Mt_L2_EW,32MT_EW,0.011,0.005
145,32Mt_L2_NS,NONE,0.009,0.0
145,NvcMt_L1_NS,NONE,0.005,0.0
150,304Nvl_L1_EW,304NVL_EW,0.008,0.008
150,304Nvl_L2_EW,304NVL_EW,0.007,0.007
150,32Nvl_L3_NS,NONE,0.007,0.0
150,32Nvl_L1_NS,32NVL_NS,0.007,0.007
150,32Nvl_L1_EW,32NVL_EW,0.007,-0.003
150,32Nvl_L2_EW,32NVL_EW,0.008,0.0
150,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
150,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
150,32Mt_L1_EW,32MT_EW,0.014,0.009
150,304Nvl_L3_EW,NONE,0.006,0.0
150,32Nvl_L2_NS,32NVL_NS,0.007,0.007
150,32Nvl_L3_EW,NONE,0.006,0.0
150,NvcNvl_L3_EW,NONE,0.009,0.0
150,32Mt_L2_EW,32MT_EW,0.011,0.005
155,304Nvl_L1_EW,304NVL_EW,0.008,0.008
155,304Nvl_L2_EW,304NVL_EW,0.007,0.007
155,304Nvl_L1_NS,NONE,0.007,0.0
155,304Nvl_L3_NS,NONE,0.008,0.0
155,32Nvl_L3_NS,NONE,0.007,0.0
155,32Nvl_L1_NS,32NVL_NS,0.007,0.007
155,32Nvl_L1_EW,32NVL_EW,0.007,-0.008
155,32Nvl_L2_EW,32NVL_EW,0.008,-0.004
155,32Nvl_L3_NS,NONE,0.008,0.0
