Time_Seconds,Lane_ID,Phase_ID,Density_Phi,Pressure_W
20,304Nvl_L1_NS,304NVL_NS,0.009,0.009
20,304Nvl_L3_NS,NONE,0.007,0.0
20,304Nvl_L2_NS,304NVL_NS,0.008,0.008
25,32Nvl_L2_NS,32NVL_NS,0.008,0.008
25,32Mt_L1_NS,32MT_NS,0.006,0.006
25,32Nvl_L1_NS,32NVL_NS,0.007,0.007
25,32Mt_L2_NS,32MT_NS,0.006,0.006
30,304Nvl_L1_NS,NONE,0.007,0.0
30,32Nvl_L3_NS,NONE,0.008,0.0
30,32Nvl_L2_NS,32NVL_NS,0.008,0.008
30,32Nvl_L1_NS,32NVL_NS,0.007,0.007
35,32Mt_L1_EW,NONE,0.007,0.0
40,32Nvl_L1_NS,32NVL_NS,0.007,0.007
50,32Nvl_L3_NS,NONE,0.007,0.0
50,32Nvl_L1_NS,32NVL_NS,0.007,0.007
50,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
50,32Nvl_L2_NS,32NVL_NS,0.007,0.007
50,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
55,NvcNvl_L1_EW,NVCNVL_EW,0.035,0.035
55,NvcNvl_L2_EW,NVCNVL_EW,0.039,0.039
55,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
55,NvcNvl_L3_EW,NONE,0.047,0.0
55,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
60,304Nvl_L1_NS,304NVL_NS,0.009,0.009
60,304Nvl_L3_NS,NONE,0.007,0.0
60,NvcNvl_L1_EW,NVCNVL_EW,0.035,0.035
60,NvcNvl_L2_EW,NVCNVL_EW,0.039,0.039
60,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
60,304Nvl_L2_NS,304NVL_NS,0.008,0.008
60,32Nvl_L1_NS,32NVL_NS,0.007,0.0
60,NvcNvl_L3_EW,NONE,0.047,0.0
60,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
65,304Nvl_L1_NS,304NVL_NS,0.009,0.009
65,304Nvl_L3_NS,NONE,0.007,0.0
65,304Nvl_L2_NS,304NVL_NS,0.008,0.008
65,32Nvl_L1_NS,32NVL_NS,0.007,0.0
70,304Nvl_L1_NS,304NVL_NS,0.009,0.009
70,304Nvl_L3_NS,NONE,0.007,0.0
70,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
70,304Nvl_L2_NS,304NVL_NS,0.008,0.008
70,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
75,304Nvl_L1_NS,304NVL_NS,0.009,0.009
75,304Nvl_L3_NS,NONE,0.007,0.0
75,NvcNvl_L1_EW,NONE,0.053,0.0
75,NvcNvl_L2_EW,NONE,0.038,0.0
75,304Nvl_L2_NS,304NVL_NS,0.008,0.008
75,NvcCmt8_L1_EW,NONE,0.006,0.0
80,304Nvl_L1_NS,304NVL_NS,0.009,0.009
80,304Nvl_L3_NS,NONE,0.007,0.0
80,NvcNvl_L1_EW,NONE,0.053,0.0
80,NvcNvl_L2_EW,NONE,0.038,0.0
80,304Nvl_L2_NS,304NVL_NS,0.008,0.008
85,304Nvl_L1_NS,304NVL_NS,0.009,0.009
85,304Nvl_L3_NS,NONE,0.007,0.0
85,32Nvl_L3_NS,NONE,0.042,0.0
85,32Nvl_L2_NS,32NVL_NS,0.039,0.034
85,NvcNvl_L3_NS,NONE,0.007,0.0
85,NvcNvl_L2_NS,NONE,0.007,0.0
85,32Mt_L1_NS,NONE,0.01,0.0
85,304Nvl_L2_NS,304NVL_NS,0.008,-0.02
85,32Nvl_L1_NS,32NVL_NS,0.034,0.027
85,NvcNvl_L1_NS,NONE,0.009,0.0
85,32Mt_L2_NS,NONE,0.009,0.0
90,304Nvl_L1_NS,304NVL_NS,0.009,0.009
90,304Nvl_L3_NS,NONE,0.007,0.0
90,32Nvl_L3_NS,NONE,0.042,0.0
90,32Nvl_L2_NS,32NVL_NS,0.039,0.034
90,32Thn_L1_EW,32THN_EW,0.008,0.008
90,32Thn_L2_EW,32THN_EW,0.008,0.008
90,32Thn_L3_EW,NONE,0.008,0.0
90,304Nvl_L2_NS,304NVL_NS,0.008,-0.02
90,32Nvl_L1_NS,32NVL_NS,0.034,0.027
95,304Nvl_L1_NS,304NVL_NS,0.009,0.009
95,304Nvl_L3_NS,NONE,0.007,0.0
95,32Nvl_L3_NS,NONE,0.042,0.0
95,32Nvl_L2_NS,32NVL_NS,0.039,0.034
95,32Mt_L1_NS,NONE,0.01,0.0
95,32Thn_L1_EW,NONE,0.01,0.0
95,304Nvl_L2_NS,304NVL_NS,0.008,-0.02
