'Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay'
Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,120,0,3,0.0
intersection35,1,120,0,2,2.0
intersection40,1,120,0,0,0.0
intersection44,1,120,0,1,0.0
intersection97,1,120,0,1,0.0
intersection109,1,120,0,0,0.0
intersection133,1,120,0,0,0.0
intersection141,1,120,0,0,0.0
intersection133,2,236,0,0,0.0
intersection141,2,236,0,0,0.0
intersection33,2,236,0,11,4.09
intersection35,2,236,0,3,0.0
intersection40,2,236,0,9,11.17
intersection44,2,236,0,5,0.0
intersection97,2,236,0,2,0.0
intersection109,2,236,0,2,0.0
intersection133,3,352,0,0,0.0
intersection141,3,352,0,0,0.0
intersection33,3,353,0,17,7.62
intersection35,3,353,0,14,17.14
intersection40,3,353,0,3,3.0
intersection44,3,353,0,9,20.5
intersection97,3,353,0,1,12.0
intersection109,3,353,0,6,32.33
intersection133,4,468,0,0,0.0
intersection141,4,468,0,0,0.0
intersection33,4,469,0,16,4.63
intersection35,4,469,0,15,44.33
intersection40,4,469,0,11,16.36
intersection44,4,469,0,4,5.13
intersection97,4,469,0,0,0.0
intersection109,4,469,0,2,2.25
intersection133,5,584,0,0,0.0
intersection141,5,584,0,0,0.0
intersection33,5,586,0,33,31.77
intersection35,5,586,0,13,8.77
intersection40,5,586,0,12,3.42
intersection44,5,586,0,6,6.42
intersection97,5,586,0,1,27.0
intersection109,5,586,0,11,11.59
intersection133,6,700,0,0,0.0
intersection141,6,700,0,0,0.0
intersection33,6,702,0,14,6.82
intersection35,6,702,0,11,12.55
intersection40,6,702,0,18,22.89
intersection44,6,702,0,5,9.7
intersection97,6,702,0,4,30.38
intersection109,6,702,0,10,31.25
intersection133,7,816,0,0,0.0
intersection141,7,816,0,0,0.0
intersection33,7,819,0,19,13.61
intersection35,7,819,0,12,40.46
intersection40,7,819,0,11,7.91
intersection44,7,819,0,13,11.35
intersection97,7,819,0,2,0.0
intersection109,7,819,0,10,13.75
intersection133,8,932,0,0,0.0
intersection141,8,932,0,0,0.0
intersection33,8,935,0,24,11.65
intersection35,8,935,0,23,32.35
intersection40,8,935,0,15,11.83
intersection44,8,935,0,10,6.45
intersection97,8,935,0,2,19.75
intersection109,8,935,0,12,20.79
intersection133,9,1048,0,0,0.0
intersection141,9,1048,0,0,0.0
intersection33,9,1052,0,25,8.74
intersection35,9,1052,0,13,7.69
