Time_Seconds,Lane_ID,Phase_ID,Density_Phi,Pressure_W
15,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
15,NvcCmt8_L2_NS,NONE,0.011,0.0
15,NvcCmt8_L1_NS,NONE,0.008,0.0
15,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
20,304Nvl_L1_NS,304NVL_NS,0.009,0.009
20,304Nvl_L3_NS,NONE,0.007,0.0
20,NvcCmt8_L2_NS,NONE,0.011,0.0
20,NvcCmt8_L1_NS,NONE,0.008,0.0
20,304Nvl_L2_NS,304NVL_NS,0.008,0.008
25,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
25,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
25,NvcNvl_L3_EW,NONE,0.009,0.0
30,304Nvl_L1_EW,NONE,0.008,0.0
30,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
30,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
30,NvcNvl_L3_EW,NONE,0.009,0.0
35,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
35,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
35,NvcNvl_L3_EW,NONE,0.009,0.0
40,304Nvl_L1_NS,304NVL_NS,0.009,0.009
40,304Nvl_L3_NS,NONE,0.007,0.0
40,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
40,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
40,NvcCmt8_L2_NS,NONE,0.011,0.0
40,NvcCmt8_L1_NS,NONE,0.008,0.0
40,304Nvl_L2_NS,304NVL_NS,0.008,0.008
40,NvcNvl_L3_EW,NONE,0.009,0.0
45,32Nvl_L3_NS,NONE,0.008,0.0
45,32Nvl_L2_NS,32NVL_NS,0.008,0.008
45,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
45,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
45,NvcMt_L2_NS,NONE,0.005,0.0
45,NvcCmt8_L2_EW,NVCCMT8_EW,0.026,0.026
45,32Nvl_L1_NS,32NVL_NS,0.007,0.007
45,NvcNvl_L1_NS,NONE,0.009,0.0
45,NvcNvl_L3_EW,NONE,0.009,0.0
45,NvcMt_L1_NS,NONE,0.005,0.0
45,NvcCmt8_L1_EW,NVCCMT8_EW,0.038,0.038
50,304Nvl_L1_NS,NONE,0.007,0.0
50,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
50,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
50,NvcCmt8_L2_EW,NVCCMT8_EW,0.026,0.026
50,NvcNvl_L3_EW,NONE,0.009,0.0
50,NvcCmt8_L1_EW,NVCCMT8_EW,0.038,0.038
55,304Thn_L2_NS,304THN_NS,0.009,0.009
55,NvcNvl_L3_NS,NONE,0.007,0.0
55,NvcNvl_L2_NS,NONE,0.007,0.0
55,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
55,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
55,NvcCmt8_L2_EW,NVCCMT8_EW,0.026,0.026
55,32Nvl_L1_NS,32NVL_NS,0.007,0.007
55,NvcNvl_L1_NS,NONE,0.009,0.0
55,NvcNvl_L3_EW,NONE,0.009,0.0
55,NvcCmt8_L1_EW,NVCCMT8_EW,0.038,0.038
55,304Thn_L1_NS,304THN_NS,0.008,0.008
60,304Thn_L2_NS,304THN_NS,0.009,0.009
60,32Nvl_L3_NS,NONE,0.008,0.0
60,32Nvl_L2_NS,32NVL_NS,0.008,0.008
60,NvcCmt8_L2_EW,NVCCMT8_EW,0.026,0.026
60,32Nvl_L1_NS,32NVL_NS,0.007,0.007
60,NvcCmt8_L1_EW,NVCCMT8_EW,0.038,0.038
60,304Thn_L1_NS,304THN_NS,0.008,0.008
65,304Thn_L2_NS,304THN_NS,0.009,0.009
65,32Nvl_L1_EW,32NVL_EW,0.035,0.035
65,32Nvl_L2_EW,32NVL_EW,0.039,0.039
65,32Nvl_L3_NS,NONE,0.017,0.0
65,32Nvl_L2_NS,32NVL_NS,0.016,0.016
65,NvcNvl_L1_EW,NONE,0.011,0.0
65,NvcNvl_L2_EW,NONE,0.008,0.0
65,32Mt_L1_NS,NONE,0.01,0.0
65,32Nvl_L3_EW,NONE,0.031,0.0
65,32Nvl_L1_NS,32NVL_NS,0.013,0.013
65,32Mt_L2_NS,NONE,0.009,0.0
65,304Thn_L1_NS,304THN_NS,0.008,0.008
70,304Thn_L2_NS,304THN_NS,0.009,0.009
70,32Nvl_L3_NS,NONE,0.007,0.0
70,32Nvl_L1_NS,32NVL_NS,0.007,0.007
70,32Nvl_L1_EW,32NVL_EW,0.042,0.042
70,32Nvl_L2_EW,32NVL_EW,0.046,0.046
70,32Nvl_L3_NS,NONE,0.117,0.0
70,32Nvl_L2_NS,32NVL_NS,0.111,0.111
70,NvcNvl_L1_EW,NONE,0.011,0.0
70,NvcNvl_L2_EW,NONE,0.008,0.0
70,32Nvl_L2_NS,32NVL_NS,0.007,0.007
70,32Nvl_L3_EW,NONE,0.038,0.0
70,32Nvl_L1_NS,32NVL_NS,0.094,0.094
70,NvcCmt8_L1_EW,NONE,0.029,0.0
70,304Thn_L1_NS,304THN_NS,0.008,0.008
75,304Thn_L2_NS,304THN_NS,0.009,0.009
75,32Nvl_L1_NS,32NVL_NS,0.007,0.007
75,32Nvl_L3_NS,NONE,0.125,0.0
75,32Nvl_L2_NS,32NVL_NS,0.118,0.118
75,32Mt_L1_EW,32MT_EW,0.007,0.007
75,NvcMt_L2_NS,NONE,0.005,0.0
75,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
75,32Nvl_L2_NS,32NVL_NS,0.007,0.007
75,32Nvl_L1_NS,32NVL_NS,0.101,0.101
