Intersection_Name,Cycle,Phase_NS,Phase_EW
304THN,15,56,56
NVCNVL,15,56,56
NVCCMT8,15,56,56
32THN,15,56,56
32NVL,15,102,10
304NVL,15,10,102
32MT,15,27,85
NVCMT,16,56,56
304THN,16,56,56
NVCNVL,16,56,56
NVCCMT8,16,56,56
32THN,16,56,56
32NVL,16,56,56
304NVL,16,45,67
32MT,16,39,73
NVCMT,17,56,56
304THN,17,56,56
NVCNVL,17,56,56
NVCCMT8,17,56,56
32THN,17,56,56
32NVL,17,96,16
304NVL,17,10,102
32MT,17,56,56
NVCMT,18,56,56
304THN,18,56,56
NVCNVL,18,10,102
NVCCMT8,18,56,56
32THN,18,56,56
32NVL,18,102,10
304NVL,18,10,102
32MT,18,60,52
NVCMT,19,56,56
304THN,19,56,56
NVCNVL,19,10,102
NVCCMT8,19,56,56
32THN,19,56,56
32NVL,19,102,10
304NVL,19,24,88
32MT,19,26,86
NVCMT,20,56,56
304THN,20,56,56
NVCNVL,20,56,56
NVCCMT8,20,56,56
32THN,20,56,56
32NVL,20,102,10
304NVL,20,10,102
32MT,20,60,52
NVCMT,21,56,56
304THN,21,56,56
NVCNVL,21,10,102
NVCCMT8,21,56,56
32THN,21,56,56
32NVL,21,56,56
304NVL,21,40,72
32MT,21,11,101
NVCMT,22,56,56
304THN,22,56,56
NVCNVL,22,56,56
NVCCMT8,22,56,56
32THN,22,56,56
32NVL,22,102,10
304NVL,22,10,102
32MT,22,35,77
NVCMT,23,56,56
304THN,23,56,56
NVCNVL,23,56,56
NVCCMT8,23,56,56
32THN,23,56,56
32NVL,23,78,34
304NVL,23,10,102
32MT,23,56,56
NVCMT,24,56,56
304THN,24,56,56
NVCNVL,24,56,56
NVCCMT8,24,56,56
32THN,24,56,56
32NVL,24,102,10
304NVL,24,10,102
32MT,24,34,78
NVCMT,25,56,56
304THN,25,56,56
NVCNVL,25,10,102
NVCCMT8,25,56,56
32THN,25,102,10
32NVL,25,10,102
304NVL,25,51,61
32MT,25,56,56
NVCMT,26,56,56
304THN,26,56,56
NVCNVL,26,56,56
NVCCMT8,26,56,56
32THN,26,56,56
32NVL,26,102,10
304NVL,26,10,102
32MT,26,22,90
NVCMT,27,56,56
304THN,27,56,56
NVCNVL,27,56,56
NVCCMT8,27,56,56
32THN,27,56,56
32NVL,27,89,23
304NVL,27,17,95
32MT,27,56,56
NVCMT,28,56,56
304THN,28,56,56
NVCNVL,28,56,56
NVCCMT8,28,56,56
32THN,28,56,56
32NVL,28,102,10
304NVL,28,10,102
32MT,28,56,56
NVCMT,29,56,56
304THN,29,56,56
NVCNVL,29,56,56
NVCCMT8,29,56,56
32THN,29,56,56
32NVL,29,10,102
304NVL,29,73,39
32MT,29,56,56
NVCMT,30,56,56
304THN,30,56,56
NVCNVL,30,10,102
NVCCMT8,30,56,56
32THN,30,56,56
32NVL,30,102,10
304NVL,30,10,102
32MT,30,27,85
NVCMT,31,56,56
304THN,31,56,56
NVCNVL,31,56,56
NVCCMT8,31,56,56
32THN,31,56,56
32NVL,31,52,60
304NVL,31,10,102
32MT,31,56,56
NVCMT,32,56,56
304THN,32,56,56
NVCNVL,32,10,102
NVCCMT8,32,56,56
32THN,32,56,56
32NVL,32,89,23
304NVL,32,17,95
32MT,32,56,56
NVCMT,33,56,56
304THN,33,56,56
NVCNVL,33,56,56
NVCCMT8,33,56,56
32THN,33,56,56
32NVL,33,102,10
304NVL,33,10,102
32MT,33,46,66
NVCMT,34,56,56
304THN,34,56,56
NVCNVL,34,56,56
NVCCMT8,34,56,56
32THN,34,56,56
32NVL,34,102,10
304NVL,34,10,102
32MT,34,37,75
NVCMT,35,56,56
304THN,35,56,56
NVCNVL,35,56,56
NVCCMT8,35,56,56
32THN,35,56,56
32NVL,35,102,10
304NVL,35,10,102
32MT,35,41,71
NVCMT,36,56,56
304THN,36,56,56
NVCNVL,36,10,102
NVCCMT8,36,56,56
32THN,36,56,56
32NVL,36,102,10
304NVL,36,10,102
32MT,36,29,83
NVCMT,37,56,56
304THN,37,56,56
NVCNVL,37,56,56
NVCCMT8,37,56,56
32THN,37,56,56
32NVL,37,102,10
304NVL,37,10,102
32MT,37,78,34
NVCMT,38,56,56
304THN,38,56,56
NVCNVL,38,10,102
NVCCMT8,38,56,56
32THN,38,56,56
32NVL,38,102,10
304NVL,38,10,102
32MT,38,49,63
NVCMT,39,56,56
304THN,39,56,56
NVCNVL,39,56,56
NVCCMT8,39,56,56
32THN,39,56,56
32NVL,39,73,39
304NVL,39,10,102
32MT,39,102,10
NVCMT,40,56,56
304THN,40,56,56
NVCNVL,40,10,102
NVCCMT8,40,56,56
32THN,40,56,56
32NVL,40,102,10
304NVL,40,10,102
32MT,40,11,101
NVCMT,41,10,102
304THN,41,56,56
NVCNVL,41,56,56
NVCCMT8,41,56,56
32THN,41,56,56
32NVL,41,87,25
304NVL,41,10,102
32MT,41,102,10
NVCMT,42,56,56
304THN,42,56,56
NVCNVL,42,10,102
NVCCMT8,42,56,56
32THN,42,56,56
32NVL,42,56,56
304NVL,42,52,60
32MT,42,10,102
NVCMT,43,56,56
304THN,43,56,56
NVCNVL,43,56,56
NVCCMT8,43,56,56
32THN,43,56,56
32NVL,43,102,10
304NVL,43,10,102
32MT,43,18,94
NVCMT,44,56,56
304THN,44,56,56
NVCNVL,44,56,56
NVCCMT8,44,56,56
32THN,44,56,56
32NVL,44,102,10
304NVL,44,10,102
32MT,44,56,56
NVCMT,45,56,56
304THN,45,56,56
NVCNVL,45,10,102
NVCCMT8,45,56,56
32THN,45,56,56
32NVL,45,10,102
304NVL,45,34,78
32MT,45,12,100
