Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection40,20,2333,25,29,12.47
intersection44,20,2333,11,22,7.41
intersection97,20,2333,0,4,43.38
intersection109,20,2333,33,32,11.77
intersection133,21,2441,0,0,0.0
intersection141,21,2443,0,1,0.0
intersection33,21,2450,28,57,18.32
intersection35,21,2450,37,49,50.41
intersection40,21,2450,22,37,20.36
intersection44,21,2450,10,22,8.61
intersection97,21,2450,0,6,16.17
intersection109,21,2450,7,33,26.48
intersection133,22,2557,0,0,0.0
intersection141,22,2559,0,0,0.0
intersection33,22,2566,18,51,22.6
intersection35,22,2566,38,37,32.05
intersection40,22,2566,25,42,13.51
intersection44,22,2566,17,21,9.05
intersection97,22,2566,4,1,38.5
intersection109,22,2566,33,25,24.16
intersection133,23,2673,0,0,0.0
intersection141,23,2675,0,1,33.0
intersection33,23,2683,37,57,15.29
intersection35,23,2683,16,31,26.81
intersection40,23,2683,29,35,16.07
intersection44,23,2683,6,18,19.22
intersection97,23,2683,1,9,13.22
intersection109,23,2683,28,35,29.57
intersection133,24,2790,0,0,0.0
intersection141,24,2792,0,0,0.0
intersection33,24,2799,24,60,36.11
intersection35,24,2799,31,32,37.61
intersection40,24,2799,30,39,24.94
intersection44,24,2799,21,26,8.46
intersection97,24,2799,1,4,19.38
intersection109,24,2799,19,25,15.36
intersection133,25,2906,0,0,0.0
intersection141,25,2908,0,0,0.0
intersection33,25,2916,15,51,7.26
intersection35,25,2916,29,54,40.76
intersection40,25,2916,26,39,8.77
intersection44,25,2916,9,33,32.91
intersection97,25,2916,0,7,20.14
intersection109,25,2916,21,27,42.06
intersection133,26,3022,0,0,0.0
intersection141,26,3024,0,0,0.0
intersection33,26,3032,12,46,23.45
intersection35,26,3032,27,44,20.99
intersection40,26,3032,31,48,17.48
intersection44,26,3032,11,25,4.36
intersection97,26,3032,1,1,32.5
intersection109,26,3032,45,33,37.62
intersection133,27,3138,0,0,0.0
intersection141,27,3140,0,0,0.0
intersection33,27,3149,26,63,21.12
intersection35,27,3149,25,42,28.67
intersection40,27,3149,21,44,15.36
intersection44,27,3149,12,20,17.73
intersection97,27,3149,0,6,44.25
intersection109,27,3149,20,44,35.14
intersection133,28,3254,0,0,0.0
intersection141,28,3256,0,0,0.0
intersection33,28,3265,17,60,14.79
intersection35,28,3265,42,42,28.69
intersection40,28,3265,27,41,11.02
intersection44,28,3265,15,24,7.75
intersection97,28,3265,1,8,48.19
intersection109,28,3265,50,38,26.14
intersection133,29,3370,0,0,0.0
intersection141,29,3372,0,0,0.0
intersection33,29,3382,33,74,11.21
intersection35,29,3382,27,34,24.79
intersection40,29,3382,23,41,17.93
intersection44,29,3382,13,28,5.0
intersection97,29,3382,2,3,26.17
intersection109,29,3382,21,44,28.64
intersection133,30,3486,0,0,0.0
intersection141,30,3488,0,0,0.0
intersection33,30,3498,13,55,17.33
intersection35,30,3498,36,40,49.08
intersection40,30,3498,20,40,15.55
intersection44,30,3498,11,23,13.15
intersection97,30,3498,1,7,19.57
intersection109,30,3498,38,30,21.57
intersection133,31,3602,0,0,0.0
intersection141,31,3604,0,1,0.0
intersection33,31,3615,9,70,10.04
intersection35,31,3615,46,46,21.15
intersection40,31,3615,27,37,20.58
intersection44,31,3615,16,20,3.3
intersection97,31,3615,0,5,23.5
intersection109,31,3615,11,35,22.17
intersection133,32,3718,0,0,0.0
intersection141,32,3720,0,0,0.0
intersection33,32,3731,27,40,11.86
intersection35,32,3731,34,33,38.33
intersection40,32,3731,25,42,20.05
intersection44,32,3731,16,30,18.6
intersection97,32,3731,3,9,20.0
intersection109,32,3731,29,17,13.44
intersection133,33,3834,0,0,0.0
intersection141,33,3836,0,0,0.0
intersection33,33,3848,39,28,37.57
intersection35,33,3848,25,41,30.07
intersection40,33,3848,27,47,17.53
intersection44,33,3848,24,25,8.82
intersection97,33,3848,4,3,4.67
intersection109,33,3848,18,20,24.03
intersection133,34,3950,0,0,0.0
intersection141,34,3952,0,0,0.0
intersection33,34,3964,33,90,23.39
intersection35,34,3964,30,54,42.92
intersection40,34,3964,24,44,33.01
intersection44,34,3964,12,25,35.36
intersection97,34,3964,3,17,22.06
intersection109,34,3964,14,42,33.83
intersection133,35,4066,0,0,0.0
intersection141,35,4068,0,0,0.0
intersection33,35,4081,21,61,14.96
intersection35,35,4081,42,50,41.34
intersection40,35,4081,18,44,13.01
intersection44,35,4081,22,35,2.41
intersection97,35,4081,0,4,20.38
intersection109,35,4081,34,29,22.05
intersection133,36,4182,0,0,0.0
intersection141,36,4184,0,0,0.0
intersection33,36,4197,34,56,14.66
intersection35,36,4197,36,50,18.9
intersection40,36,4197,30,36,16.15
intersection44,36,4197,9,31,39.5
intersection97,36,4197,1,4,41.13
intersection109,36,4197,17,37,21.8
intersection133,37,4298,0,0,0.0
intersection141,37,4300,0,0,0.0
intersection33,37,4314,16,55,22.21
intersection35,37,4314,38,39,27.23
intersection40,37,4314,18,43,17.26
intersection44,37,4314,19,20,9.48
intersection97,37,4314,3,9,20.89
intersection109,37,4314,20,26,16.19
intersection133,38,4414,0,0,0.0
intersection141,38,4416,1,1,9.5
intersection33,38,4430,17,56,9.28
intersection35,38,4430,50,60,43.75
intersection40,38,4430,24,43,12.34
intersection44,38,4430,14,30,13.6
intersection97,38,4430,2,8,3.19
intersection109,38,4430,31,36,22.5
intersection133,39,4530,0,0,0.0
intersection141,39,4533,0,1,0.0
intersection33,39,4547,13,60,22.64
intersection35,39,4547,29,53,40.2
intersection40,39,4547,26,45,14.34
intersection44,39,4547,15,19,10.92
intersection97,39,4547,3,5,10.1
intersection109,39,4547,31,33,9.02
intersection133,40,4646,0,0,0.0
intersection141,40,4649,0,0,0.0
intersection33,40,4663,37,49,6.92
intersection35,40,4663,25,39,34.46
intersection40,40,4663,25,58,17.02
intersection44,40,4663,10,30,27.45
intersection97,40,4663,1,6,16.08
intersection109,40,4663,23,32,31.88
intersection133,41,4762,0,0,0.0
intersection141,41,4765,1,0,0.0
intersection33,41,4780,33,47,40.35
intersection35,41,4780,35,40,29.06
intersection40,41,4780,20,42,18.21
intersection44,41,4780,24,18,11.17
intersection97,41,4780,0,2,15.25
intersection109,41,4780,28,34,36.96
intersection133,42,4878,0,0,0.0
intersection141,42,4882,0,1,0.0
intersection33,42,4896,39,70,16.46
intersection35,42,4896,14,21,37.74
intersection40,42,4896,26,36,22.64
intersection44,42,4896,8,30,22.63
intersection97,42,4896,1,9,33.11
intersection109,42,4896,14,43,37.78
intersection133,43,4994,0,0,0.0
intersection141,43,4998,0,0,0.0
intersection33,43,5013,20,60,21.58
intersection35,43,5013,47,56,23.64
intersection40,43,5013,25,48,22.84
intersection44,43,5013,21,22,5.48
intersection97,43,5013,0,8,9.31
intersection109,43,5013,29,17,30.21
intersection133,44,5110,0,0,0.0
intersection141,44,5114,0,0,0.0
intersection33,44,5129,21,58,16.91
intersection35,44,5129,31,22,31.75
intersection40,44,5129,19,44,17.03
intersection44,44,5129,9,23,18.0
intersection97,44,5129,1,1,15.5
intersection109,44,5129,19,38,35.54
intersection133,45,5226,0,0,0.0
intersection141,45,5230,0,0,0.0
intersection33,45,5246,20,43,27.97
intersection35,45,5246,40,62,55.17
intersection40,45,5246,12,37,21.59
intersection44,45,5246,19,18,14.72
intersection97,45,5246,0,10,41.1
intersection109,45,5246,37,29,7.86
intersection133,46,5342,0,0,0.0
intersection141,46,5346,1,0,0.0
intersection33,46,5362,26,65,14.58
intersection35,46,5362,44,36,21.25
intersection40,46,5362,31,30,7.02
intersection44,46,5362,18,27,4.39
intersection97,46,5362,0,4,34.0
intersection109,46,5362,25,29,46.48
intersection133,47,5458,0,0,0.0
intersection141,47,5463,0,1,1.5
intersection33,47,5479,9,59,15.46
intersection35,47,5479,28,40,45.88
intersection40,47,5479,11,47,35.22
intersection44,47,5479,10,27,17.26
intersection97,47,5479,0,8,32.88
intersection109,47,5479,31,34,18.43
intersection133,48,5574,0,0,0.0
intersection141,48,5579,0,1,0.0
intersection33,48,5595,30,53,7.21
intersection35,48,5595,24,45,60.12
intersection40,48,5595,30,33,10.83
intersection44,48,5595,14,24,15.79
intersection97,48,5595,1,3,33.17
intersection109,48,5595,21,39,24.42
intersection133,49,5690,0,0,0.0
intersection141,49,5696,0,0,0.0
intersection33,49,5712,21,63,28.7
intersection35,49,5712,35,41,9.35
intersection40,49,5712,13,33,18.74
intersection44,49,5712,16,25,13.26
intersection97,49,5712,0,9,43.56
intersection109,49,5712,29,35,13.71
intersection133,50,5806,0,0,0.0
intersection141,50,5812,0,1,0.0
intersection33,50,5828,26,70,15.02
intersection35,50,5828,19,31,33.85
intersection40,50,5828,26,35,15.14
intersection44,50,5828,15,21,5.81
intersection97,50,5828,1,4,20.13
intersection109,50,5828,14,43,24.62
intersection133,51,5922,0,0,0.0
intersection141,51,5928,0,0,0.0
intersection33,51,5945,11,50,29.36
intersection35,51,5945,42,34,44.46
intersection40,51,5945,17,49,20.26
intersection44,51,5945,17,21,19.1
intersection97,51,5945,2,2,0.25
intersection109,51,5945,16,24,14.42
intersection133,52,6038,0,0,0.0
intersection141,52,6044,0,0,0.0
intersection33,52,6061,21,53,6.42
intersection35,52,6061,43,55,36.99
intersection40,52,6061,11,33,17.88
intersection44,52,6061,10,27,11.74
intersection97,52,6061,2,6,27.08
intersection109,52,6061,25,31,34.68
intersection133,53,6154,0,0,0.0
intersection141,53,6160,0,0,0.0
intersection33,53,6178,13,63,29.07
intersection35,53,6178,31,42,45.81
intersection40,53,6178,23,24,10.81
