Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,120,1,3,5.83
intersection35,1,120,5,1,16.5
intersection40,1,120,2,4,0.13
intersection44,1,120,1,1,0.0
intersection97,1,120,0,0,0.0
intersection109,1,120,3,0,0.0
intersection133,1,120,0,0,0.0
intersection141,1,120,0,0,0.0
intersection133,2,236,0,0,0.0
intersection141,2,236,0,0,0.0
intersection33,2,236,6,6,9.67
intersection35,2,236,4,17,9.94
intersection40,2,236,7,9,11.17
intersection44,2,236,3,1,3.5
intersection97,2,236,0,0,0.0
intersection109,2,236,5,3,29.83
intersection133,3,352,0,0,0.0
intersection141,3,352,0,0,0.0
intersection33,3,353,5,17,11.21
intersection35,3,353,8,10,25.1
intersection40,3,353,7,19,11.53
intersection44,3,353,8,3,21.33
intersection97,3,353,0,1,60.5
intersection109,3,353,13,6,8.42
intersection133,4,468,0,0,0.0
intersection141,4,468,0,0,0.0
intersection33,4,469,11,30,11.25
intersection35,4,469,5,17,34.44
intersection40,4,469,4,12,9.75
intersection44,4,469,7,10,5.0
intersection97,4,469,1,4,78.38
intersection109,4,469,5,12,18.13
intersection133,5,584,0,0,0.0
intersection141,5,584,0,0,0.0
intersection33,5,586,5,37,9.58
intersection35,5,586,20,23,29.91
intersection40,5,586,9,11,9.45
intersection44,5,586,7,12,19.88
intersection97,5,586,0,5,28.4
intersection109,5,586,11,11,9.59
intersection133,6,700,0,0,0.0
intersection141,6,700,0,0,0.0
intersection33,6,702,10,24,9.29
intersection35,6,702,10,27,27.63
intersection40,6,702,5,16,14.53
intersection44,6,702,10,13,4.65
intersection97,6,702,0,4,21.5
intersection109,6,702,13,13,4.04
intersection133,7,816,0,0,0.0
intersection141,7,816,0,0,0.0
intersection33,7,819,12,23,19.65
intersection35,7,819,13,16,47.16
intersection40,7,819,12,16,8.0
intersection44,7,819,5,16,6.31
intersection97,7,819,1,0,0.0
intersection109,7,819,17,12,5.08
intersection133,8,932,1,0,0.0
intersection141,8,932,0,0,0.0
intersection33,8,935,6,29,21.66
intersection35,8,935,15,26,27.23
intersection40,8,935,10,19,30.34
intersection44,8,935,9,7,3.93
intersection97,8,935,0,5,33.9
intersection109,8,935,2,14,23.21
intersection141,9,1048,0,0,0.0
intersection133,9,1048,0,0,0.0
intersection33,9,1052,12,19,3.05
intersection35,9,1052,11,19,36.21
intersection40,9,1052,12,20,14.18
intersection44,9,1052,7,11,7.68
intersection97,9,1052,0,2,24.25
intersection109,9,1052,16,12,19.67
intersection141,10,1164,0,0,0.0
intersection133,10,1165,0,0,0.0
intersection33,10,1168,5,21,36.21
intersection35,10,1168,23,28,34.84
intersection40,10,1168,14,24,13.81
intersection44,10,1168,3,12,7.63
intersection97,10,1168,2,2,8.75
intersection109,10,1168,10,11,37.91
intersection141,11,1280,0,0,0.0
intersection133,11,1281,0,0,0.0
intersection33,11,1285,16,27,3.87
intersection35,11,1285,10,25,23.42
intersection40,11,1285,15,26,21.38
intersection44,11,1285,9,8,2.0
intersection97,11,1285,0,6,5.08
intersection109,11,1285,11,12,53.46
intersection141,12,1396,0,0,0.0
intersection133,12,1397,0,0,0.0
intersection33,12,1401,6,26,30.38
intersection35,12,1401,5,12,38.54
intersection40,12,1401,4,28,17.3
intersection44,12,1401,8,10,17.5
intersection97,12,1401,2,2,5.0
intersection109,12,1401,12,15,12.87
intersection141,13,1512,0,0,0.0
intersection133,13,1513,0,0,0.0
intersection33,13,1518,7,24,10.0
intersection35,13,1518,8,20,45.53
intersection40,13,1518,12,12,7.71
intersection44,13,1518,9,10,13.25
intersection97,13,1518,1,5,19.7
intersection109,13,1518,9,18,17.17
intersection141,14,1628,0,0,0.0
intersection133,14,1629,0,0,0.0
intersection33,14,1634,5,18,24.72
intersection35,14,1634,11,19,24.32
intersection40,14,1634,10,22,16.52
intersection44,14,1634,8,12,4.79
intersection97,14,1634,0,0,0.0
intersection109,14,1634,18,5,11.1
intersection141,15,1744,0,0,0.0
intersection133,15,1745,0,0,0.0
intersection33,15,1751,12,32,13.39
intersection35,15,1751,7,20,30.35
intersection40,15,1751,7,18,13.53
intersection44,15,1751,7,7,23.86
intersection97,15,1751,1,1,6.0
intersection109,15,1751,3,23,40.09
intersection141,16,1860,0,0,0.0
intersection133,16,1861,0,0,0.0
intersection33,16,1867,3,27,31.83
intersection35,16,1867,26,16,14.72
intersection40,16,1867,14,14,12.11
intersection44,16,1867,2,6,18.17
intersection97,16,1867,0,0,0.0
intersection109,16,1867,21,4,5.38
intersection141,17,1976,0,0,0.0
intersection133,17,1977,0,0,0.0
intersection33,17,1984,17,27,16.5
intersection35,17,1984,7,20,30.58
intersection40,17,1984,8,27,26.74
intersection44,17,1984,5,8,8.75
intersection97,17,1984,0,3,34.67
intersection109,17,1984,7,26,37.0
intersection141,18,2092,0,0,0.0
intersection133,18,2093,0,0,0.0
intersection33,18,2100,12,41,20.89
intersection35,18,2100,9,18,29.81
intersection40,18,2100,7,14,7.0
intersection44,18,2100,13,13,7.81
intersection97,18,2100,0,2,55.75
intersection109,18,2100,14,5,44.8
intersection141,19,2208,0,0,0.0
intersection133,19,2209,0,0,0.0
intersection33,19,2217,13,23,11.33
intersection35,19,2217,19,13,32.08
intersection40,19,2217,12,16,17.78
intersection44,19,2217,4,12,11.42
intersection97,19,2217,1,1,3.5
intersection109,19,2217,5,10,30.25
intersection141,20,2324,0,0,0.0
intersection133,20,2325,0,0,0.0
intersection33,20,2333,8,27,22.17
intersection35,20,2333,8,18,41.08
intersection40,20,2333,7,20,11.5
intersection44,20,2333,8,5,2.5
intersection97,20,2333,0,1,0.0
intersection109,20,2333,17,7,5.07
intersection141,21,2440,0,1,0.0
intersection133,21,2441,0,0,0.0
intersection33,21,2450,10,27,11.56
intersection35,21,2450,16,22,27.45
intersection40,21,2450,7,17,18.35
intersection44,21,2450,5,9,9.61
intersection97,21,2450,0,4,45.5
intersection109,21,2450,10,14,28.14
intersection141,22,2556,0,0,0.0
intersection133,22,2557,0,0,0.0
intersection33,22,2566,5,28,20.89
intersection35,22,2566,15,23,34.13
intersection40,22,2566,5,22,12.07
intersection44,22,2566,5,12,4.58
intersection97,22,2566,1,1,0.0
intersection109,22,2566,26,6,3.17
intersection141,23,2672,0,0,0.0
intersection133,23,2673,0,0,0.0
intersection33,23,2683,16,38,5.84
intersection35,23,2683,21,13,12.54
