Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection40,20,2333,9,39,18.96
intersection44,20,2333,8,32,3.7
intersection97,20,2333,1,5,10.4
intersection109,20,2333,34,35,25.97
intersection133,21,2440,0,0,0.0
intersection141,21,2442,0,0,0.0
intersection33,21,2450,17,69,15.41
intersection35,21,2450,38,44,41.39
intersection40,21,2450,35,30,6.42
intersection44,21,2450,11,21,10.29
intersection97,21,2450,2,7,4.71
intersection109,21,2450,40,28,15.91
intersection133,22,2556,0,0,0.0
intersection141,22,2558,0,1,35.0
intersection33,22,2566,13,41,19.26
intersection35,22,2566,36,34,33.06
intersection40,22,2566,11,47,38.2
intersection44,22,2566,9,28,26.41
intersection97,22,2566,0,5,0.3
intersection109,22,2566,25,30,32.33
intersection133,23,2672,0,0,0.0
intersection141,23,2674,0,0,0.0
intersection33,23,2683,22,67,8.98
intersection35,23,2683,26,56,53.49
intersection40,23,2683,35,39,7.17
intersection44,23,2683,25,18,5.81
intersection97,23,2683,2,2,14.25
intersection109,23,2683,23,34,24.24
intersection133,24,2788,0,0,0.0
intersection141,24,2790,0,0,0.0
intersection33,24,2799,11,64,22.72
intersection35,24,2799,47,29,13.72
intersection40,24,2799,14,48,27.09
intersection44,24,2799,16,42,25.98
intersection97,24,2799,0,14,27.04
intersection109,24,2799,29,27,21.0
intersection133,25,2904,0,0,0.0
intersection141,25,2906,0,1,0.0
intersection33,25,2916,35,62,7.82
intersection35,25,2916,21,36,36.56
intersection40,25,2916,35,20,12.5
intersection44,25,2916,23,19,5.66
intersection97,25,2916,1,8,9.5
intersection109,25,2916,17,40,19.2
intersection133,26,3020,0,0,0.0
intersection141,26,3023,0,2,0.0
intersection33,26,3032,14,46,47.77
intersection35,26,3032,33,47,42.95
intersection40,26,3032,34,48,29.18
intersection44,26,3032,8,40,27.64
intersection97,26,3032,0,5,20.0
intersection109,26,3032,38,18,22.69
intersection133,27,3136,0,0,0.0
intersection141,27,3139,0,0,0.0
intersection33,27,3149,18,62,7.26
intersection35,27,3149,31,44,21.42
intersection40,27,3149,27,48,17.82
intersection44,27,3149,15,19,5.45
intersection97,27,3149,2,6,8.33
intersection109,27,3149,27,39,33.69
intersection133,28,3252,0,0,0.0
intersection141,28,3255,0,1,0.0
intersection33,28,3265,30,54,10.68
intersection35,28,3265,17,24,33.58
intersection40,28,3265,23,55,27.23
intersection44,28,3265,9,22,19.8
intersection97,28,3265,1,7,37.71
intersection109,28,3265,29,26,15.98
intersection133,29,3368,0,0,0.0
intersection141,29,3372,0,0,0.0
intersection33,29,3382,30,63,34.29
intersection35,29,3382,33,48,53.35
intersection40,29,3382,18,40,12.09
intersection44,29,3382,13,21,5.6
intersection97,29,3382,1,5,8.5
intersection109,29,3382,35,34,19.1
intersection133,30,3484,0,0,0.0
intersection141,30,3488,0,0,0.0
intersection33,30,3498,19,77,6.75
intersection35,30,3498,34,45,13.22
intersection40,30,3498,16,37,21.51
intersection44,30,3498,14,27,7.52
intersection97,30,3498,0,6,32.25
intersection109,30,3498,15,38,29.97
intersection133,31,3600,0,0,0.0
intersection141,31,3604,0,0,0.0
intersection33,31,3615,26,67,10.98
intersection35,31,3615,20,33,28.76
intersection40,31,3615,29,26,10.94
intersection44,31,3615,10,21,8.81
intersection97,31,3615,3,1,51.5
intersection109,31,3615,27,33,8.26
intersection133,32,3716,0,0,0.0
intersection141,32,3720,0,0,0.0
intersection33,32,3731,18,60,24.75
intersection35,32,3731,42,42,67.37
intersection40,32,3731,15,44,35.43
intersection44,32,3731,12,20,15.45
intersection97,32,3731,1,7,31.93
intersection109,32,3731,24,31,15.9
intersection133,33,3832,0,0,0.0
intersection141,33,3836,0,0,0.0
intersection33,33,3848,25,57,14.0
intersection35,33,3848,24,44,32.84
intersection40,33,3848,30,29,12.81
intersection44,33,3848,7,23,15.59
intersection97,33,3848,0,2,0.0
intersection109,33,3848,12,37,27.16
intersection133,34,3948,0,0,0.0
intersection141,34,3952,0,0,0.0
intersection33,34,3964,17,56,23.83
intersection35,34,3964,29,43,17.17
intersection40,34,3964,12,35,33.21
intersection44,34,3964,12,30,9.07
intersection97,34,3964,1,7,38.5
intersection109,34,3964,28,17,16.47
intersection133,35,4064,0,0,0.0
intersection141,35,4068,0,0,0.0
intersection33,35,4081,10,58,10.66
intersection35,35,4081,27,35,23.47
intersection40,35,4081,37,38,10.16
intersection44,35,4081,17,15,6.37
intersection97,35,4081,2,3,24.17
intersection109,35,4081,34,29,18.33
intersection133,36,4180,0,0,0.0
intersection141,36,4184,0,0,0.0
intersection33,36,4197,27,58,6.25
intersection35,36,4197,18,29,25.1
intersection40,36,4197,21,49,37.62
intersection44,36,4197,13,26,20.81
intersection97,36,4197,2,9,29.72
intersection109,36,4197,13,40,22.08
intersection133,37,4296,0,0,0.0
intersection141,37,4300,0,0,0.0
intersection33,37,4314,27,50,42.14
intersection35,37,4314,41,52,42.34
intersection40,37,4314,28,36,11.39
intersection44,37,4314,14,21,2.1
intersection97,37,4314,1,3,1.5
intersection109,37,4314,25,7,6.57
intersection133,38,4412,0,0,0.0
intersection141,38,4416,0,0,0.0
intersection33,38,4430,28,55,12.55
intersection35,38,4430,36,28,14.84
intersection40,38,4430,15,40,29.25
intersection44,38,4430,15,26,12.08
intersection97,38,4430,1,12,41.38
intersection109,38,4430,31,24,41.42
intersection133,39,4528,0,0,0.0
intersection141,39,4532,0,1,33.0
intersection33,39,4547,10,77,10.57
intersection35,39,4547,14,39,33.18
intersection40,39,4547,14,34,6.74
intersection44,39,4547,16,29,3.21
intersection97,39,4547,1,5,18.8
intersection109,39,4547,44,46,27.5
intersection133,40,4644,0,0,0.0
intersection141,40,4648,0,1,0.0
intersection33,40,4663,23,76,19.2
intersection35,40,4663,32,46,44.26
intersection40,40,4663,34,31,20.34
intersection44,40,4663,10,26,24.52
intersection97,40,4663,0,4,16.63
intersection109,40,4663,27,37,35.78
intersection133,41,4760,0,0,0.0
intersection141,41,4765,0,0,0.0
intersection33,41,4780,20,73,12.27
intersection35,41,4780,45,50,13.92
intersection40,41,4780,17,50,20.55
intersection44,41,4780,18,24,2.1
intersection97,41,4780,1,7,19.07
intersection109,41,4780,26,32,19.56
intersection133,42,4876,0,0,0.0
intersection141,42,4881,0,0,0.0
intersection33,42,4896,22,56,9.8
intersection35,42,4896,16,43,22.58
intersection40,42,4896,20,32,18.16
intersection44,42,4896,10,39,17.28
intersection97,42,4896,3,3,9.17
intersection109,42,4896,22,33,17.58
intersection133,43,4992,0,0,0.0
intersection141,43,4997,0,2,0.0
intersection33,43,5013,16,49,19.89
intersection35,43,5013,49,29,48.14
intersection40,43,5013,20,34,21.99
intersection44,43,5013,17,19,15.5
intersection97,43,5013,2,6,30.67
intersection109,43,5013,24,35,16.23
intersection133,44,5108,0,0,0.0
intersection141,44,5114,0,0,0.0
intersection33,44,5129,15,51,11.59
intersection35,44,5129,36,48,46.56
intersection40,44,5129,22,21,21.95
intersection44,44,5129,17,25,14.52
intersection97,44,5129,2,13,35.62
intersection109,44,5129,21,41,30.78
intersection133,45,5224,0,0,0.0
intersection141,45,5230,0,0,0.0
intersection33,45,5246,15,53,25.39
intersection35,45,5246,20,42,41.83
intersection40,45,5246,6,49,34.21
intersection44,45,5246,18,30,1.8
intersection97,45,5246,2,5,0.5
intersection109,45,5246,36,16,18.31
intersection133,46,5340,0,0,0.0
intersection141,46,5346,0,0,0.0
intersection33,46,5362,19,55,25.82
intersection35,46,5362,31,52,31.15
intersection40,46,5362,25,32,3.78
intersection44,46,5362,9,35,30.11
intersection97,46,5362,1,3,11.33
intersection109,46,5362,9,45,22.51
intersection133,47,5456,0,0,0.0
intersection141,47,5462,0,0,0.0
intersection33,47,5479,18,44,31.98
intersection35,47,5479,32,53,21.77
intersection40,47,5479,21,41,23.09
intersection44,47,5479,8,30,6.43
intersection97,47,5479,1,2,28.0
intersection109,47,5479,48,15,7.67
intersection133,48,5572,0,0,0.0
intersection141,48,5578,0,0,0.0
intersection33,48,5595,20,76,12.68
intersection35,48,5595,16,42,30.4
intersection40,48,5595,26,30,17.62
intersection44,48,5595,20,21,11.36
intersection97,48,5595,1,13,43.19
intersection109,48,5595,34,47,28.57
intersection133,49,5688,0,0,0.0
intersection141,49,5694,0,0,0.0
intersection33,49,5712,14,66,17.02
intersection35,49,5712,38,33,35.18
intersection40,49,5712,23,49,18.95
intersection44,49,5712,13,33,11.58
intersection97,49,5712,1,6,9.58
intersection109,49,5712,29,48,20.09
intersection133,50,5804,0,0,0.0
intersection141,50,5810,0,0,0.0
intersection33,50,5828,33,46,5.4
intersection35,50,5828,45,51,29.97
intersection40,50,5828,23,43,11.79
intersection44,50,5828,19,18,7.22
intersection97,50,5828,0,10,27.9
intersection109,50,5828,12,39,23.59
intersection133,51,5920,0,0,0.0
intersection141,51,5926,0,0,0.0
intersection33,51,5945,55,34,45.38
intersection35,51,5945,20,45,34.36
intersection40,51,5945,21,50,14.74
intersection44,51,5945,6,32,20.8
intersection97,51,5945,2,1,0.0
intersection109,51,5945,28,12,8.67
intersection133,52,6036,0,0,0.0
intersection141,52,6042,0,1,6.5
intersection33,52,6061,27,91,32.6
intersection35,52,6061,21,45,41.31
intersection40,52,6061,34,23,23.15
intersection44,52,6061,15,13,15.96
intersection97,52,6061,2,14,13.07
intersection109,52,6061,14,43,28.16
intersection133,53,6152,0,0,0.0
intersection141,53,6158,0,0,0.0
intersection33,53,6178,25,56,8.57
intersection35,53,6178,44,38,19.96
intersection40,53,6178,20,45,31.29
intersection44,53,6178,15,34,6.03
intersection97,53,6178,2,1,0.0
intersection109,53,6178,23,39,22.94
intersection133,54,6268,0,0,0.0
intersection141,54,6274,0,0,0.0
intersection33,54,6294,17,46,37.98
intersection35,54,6294,21,34,33.97
intersection40,54,6294,28,38,14.07
intersection44,54,6294,15,21,18.05
intersection97,54,6294,1,6,32.83
intersection109,54,6294,34,18,9.44
intersection133,55,6384,0,0,0.0
intersection141,55,6390,0,0,0.0
intersection33,55,6411,17,79,12.15
intersection35,55,6411,36,47,50.13
intersection40,55,6411,24,60,23.05
intersection44,55,6411,13,27,8.28
intersection97,55,6411,0,12,20.54
intersection109,55,6411,15,40,28.05
intersection133,56,6500,0,0,0.0
intersection141,56,6506,0,0,0.0
intersection33,56,6527,23,58,14.22
intersection35,56,6527,61,49,33.86
intersection40,56,6527,26,37,4.55
intersection44,56,6527,16,23,7.85
intersection97,56,6527,1,2,0.0
intersection109,56,6527,29,24,18.6
intersection133,57,6616,0,0,0.0
intersection141,57,6622,0,0,0.0
intersection33,57,6644,36,49,10.49
intersection35,57,6644,30,42,30.35
intersection40,57,6644,25,42,20.74
intersection44,57,6644,8,21,20.79
intersection97,57,6644,0,4,12.38
intersection109,57,6644,24,43,30.41
intersection133,58,6732,0,0,0.0
intersection141,58,6738,0,0,0.0
intersection33,58,6760,30,39,26.27
intersection35,58,6760,39,46,56.58
intersection40,58,6760,25,35,25.5
intersection44,58,6760,18,23,10.02
intersection97,58,6760,0,4,35.63
intersection109,58,6760,28,32,11.41
intersection133,59,6848,0,0,0.0
intersection141,59,6854,0,0,0.0
intersection33,59,6877,37,78,20.12
intersection35,59,6877,24,51,54.55
intersection40,59,6877,18,45,23.44
intersection44,59,6877,16,25,15.5
intersection97,59,6877,2,4,38.75
intersection109,59,6877,15,35,29.69
intersection133,60,6964,0,0,0.0
intersection141,60,6970,0,0,0.0
intersection33,60,6993,37,50,35.04
intersection35,60,6993,44,43,18.41
intersection40,60,6993,20,47,14.16
intersection44,60,6993,14,31,17.0
intersection97,60,6993,3,3,32.67
intersection109,60,6993,32,27,23.28
intersection133,61,7080,0,0,0.0
intersection141,61,7086,0,0,0.0
intersection33,61,7110,32,74,17.13
intersection35,61,7110,21,37,28.28
intersection40,61,7110,33,30,19.85
intersection44,61,7110,20,16,8.78
intersection97,61,7110,0,17,40.18
intersection109,61,7110,32,42,29.36
intersection133,62,7196,0,0,0.0
